location_name,age_name,year,Observed_Rate,Anchored_Rate,Anchored_Lwr_95,Anchored_Upr_95,Unanchored_Rate,Unanchored_Lwr_95,Unanchored_Upr_95,Absolute_Change,Relative_Change_Percent,Anchored_95UI,Unanchored_95UI
China,25-29 years,2023,5.9878306416300004,5.9878306416300004,5.79976918703963,6.1784908358482795,6.069771904147411,5.879136897641118,6.263041213078696,-0.08194126251741096,-1.3499891562880866,5.99 (5.8 to 6.18),6.07 (5.88 to 6.26)
China,25-29 years,2030,NA,6.759284472904143,4.3582881690701365,9.93092282175036,6.851782797685307,4.417929741512988,10.06682385213683,-0.0924983247811646,-1.3499891562880935,6.76 (4.36 to 9.93),6.85 (4.42 to 10.07)
China,25-29 years,2040,NA,9.785430503990444,1.8586971500372862,30.394817412827145,9.919340525459436,1.8841327376861228,30.81075932265298,-0.1339100214689921,-1.3499891562880868,9.79 (1.86 to 30.39),9.92 (1.88 to 30.81)
China,25-29 years,2050,NA,22.94421973374395,0.5669720214591455,129.9681997305813,23.25820295153718,0.5747308252782468,131.74676679608865,-0.31398321779322913,-1.349989156288093,22.94 (0.57 to 129.97),23.26 (0.57 to 131.75)
China,30-34 years,2023,13.39623101738,13.396231017379998,13.201191414413714,13.595001674277547,13.167659034419833,12.975947277080271,13.363038184919617,0.22857198296016534,1.7358589128309414,13.4 (13.2 to 13.6),13.17 (12.98 to 13.36)
China,30-34 years,2030,NA,15.246905268884962,10.511122103908237,21.154701639704193,14.986756323499245,10.331777031453923,20.793751451815933,0.2601489453857173,1.7358589128309478,15.25 (10.51 to 21.15),14.99 (10.33 to 20.79)
China,30-34 years,2040,NA,21.352263040579686,4.708296633067359,61.60082171354689,20.987941979115423,4.627961746606484,60.54976325144859,0.36432106146426335,1.7358589128309492,21.35 (4.71 to 61.6),20.99 (4.63 to 60.55)
China,30-34 years,2050,NA,47.02090686795364,1.486746945358875,254.42015375645988,46.21861688732778,1.4613794597564127,250.07913283992767,0.802289980625865,1.7358589128309396,47.02 (1.49 to 254.42),46.22 (1.46 to 250.08)
China,35-39 years,2023,27.24285836547,27.24285836547,26.95633947120128,27.53172943837671,26.62893022656154,26.34886814417213,26.91129148035181,0.6139281389084594,2.3054930621887504,27.24 (26.96 to 27.53),26.63 (26.35 to 26.91)
China,35-39 years,2030,NA,29.98226785513962,20.800832910285575,41.364964503489944,29.306606085085,20.332078256679054,40.43278935017233,0.6756617700546208,2.3054930621887504,29.98 (20.8 to 41.36),29.31 (20.33 to 40.43)
China,35-39 years,2040,NA,41.413632710366656,9.84122090279052,114.86486170855613,40.48036080056075,9.619445259706932,112.2763385136445,0.933271909805903,2.3054930621887513,41.41 (9.84 to 114.86),40.48 (9.62 to 112.28)
China,35-39 years,2050,NA,86.95216182739487,3.2425348485733774,454.35024194273353,84.99266190383248,3.1694630967687414,444.1112870318178,1.9594999235623902,2.30549306218874,86.95 (3.24 to 454.35),84.99 (3.17 to 444.11)
China,40-44 years,2023,52.14264746346,52.14264746346,51.662319037506094,52.62295620800274,52.079989552028984,51.60023831916816,52.559721127129066,0.06265791143101751,0.12031091398054326,52.14 (51.66 to 52.62),52.08 (51.6 to 52.56)
China,40-44 years,2030,NA,56.55011193367908,39.25409792794387,78.00512838799384,56.482157733474,39.20692771486642,77.91139247960665,0.06795420020507947,0.12031091398055177,56.55 (39.25 to 78.01),56.48 (39.21 to 77.91)
China,40-44 years,2040,NA,78.77881965167371,19.178875821331324,215.63568242390423,78.6841540268062,19.15582926805837,215.37656091496757,0.09466562486751684,0.12031091398055326,78.78 (19.18 to 215.64),78.68 (19.16 to 215.38)
China,40-44 years,2050,NA,160.01140642301164,6.581228279986362,817.6156272422363,159.8191265711182,6.573319858785393,816.6331284615163,0.19227985189343144,0.12031091398054192,160.01 (6.58 to 817.62),159.82 (6.57 to 816.63)
China,45-49 years,2023,80.5407648021,80.5407648021,79.91379257962569,81.1698949212797,81.92246068997609,81.28473261059213,82.56238368529431,-1.3816958878760914,-1.686589826817975,80.54 (79.91 to 81.17),81.92 (81.28 to 82.56)
China,45-49 years,2030,NA,99.58265310695036,69.1258170685575,137.36207173375152,101.2910170967852,70.31168682562256,139.7185505942517,-1.7083639898348366,-1.6865898268179766,99.58 (69.13 to 137.36),101.29 (70.31 to 139.72)
China,45-49 years,2040,NA,132.27854532229318,32.26569413597265,361.70574766112276,134.54781508370073,32.819219757646145,367.9108953946031,-2.2692697614075428,-1.6865898268179642,132.28 (32.27 to 361.71),134.55 (32.82 to 367.91)
China,45-49 years,2050,NA,265.01471486756833,11.43181972048096,1338.8645863658255,269.56110504226933,11.62793529422229,1361.8331253156364,-4.546390174701003,-1.6865898268179649,265.01 (11.43 to 1338.86),269.56 (11.63 to 1361.83)
China,Overall ASIR (25-49y),2023,32.87222078381767,32.87222078381767,32.535346071361346,33.21133166976234,32.938846943169274,32.601693079985985,33.278227042419836,-0.06662615935160687,-0.2022722879964793,32.87 (32.54 to 33.21),32.94 (32.6 to 33.28)
China,Overall ASIR (25-49y),2030,NA,38.005498177049994,26.286476496190822,52.592873844105924,38.109156842073055,26.35769543083494,52.73728809343771,-0.10365866502306176,-0.2720046141472779,38.01 (26.29 to 52.59),38.11 (26.36 to 52.74)
China,Overall ASIR (25-49y),2040,NA,51.902540315969844,12.371015371566237,143.82494358269963,52.03075628284977,12.403645830633176,144.1678282183403,-0.1282159668799281,-0.24642341576378407,51.9 (12.37 to 143.82),52.03 (12.4 to 144.17)
China,Overall ASIR (25-49y),2050,NA,106.87400445882162,4.23426712158839,551.5489440768399,107.10735262859981,4.24735703419308,552.6400695611219,-0.23334816977819628,-0.2178638198512318,106.87 (4.23 to 551.55),107.11 (4.25 to 552.64)
Global,25-29 years,2023,10.149674433349999,10.149674433349999,10.04234844718992,10.257962745424955,10.143712836076796,10.036449889801458,10.251937543027251,0.005961597273202557,0.05877135295076311,10.15 (10.04 to 10.26),10.14 (10.04 to 10.25)
Global,25-29 years,2030,NA,16.21049550793973,12.50596934209806,20.70238492355942,16.20097397634263,12.498623731830639,20.690224998399305,0.009521531597098232,0.05877135295076696,16.21 (12.51 to 20.7),16.2 (12.5 to 20.69)
Global,25-29 years,2040,NA,34.20900832028341,13.041374961967463,74.0917555431111,34.18891503235971,13.033714871397798,74.04823639274692,0.02009328792370013,0.05877135295074995,34.21 (13.04 to 74.09),34.19 (13.03 to 74.05)
Global,25-29 years,2050,NA,87.04642146041961,11.026533118985656,327.1408896305218,86.99529314963209,11.020056482694837,326.9487374340764,0.05112831078751867,0.05877135295076007,87.05 (11.03 to 327.14),87 (11.02 to 326.95)
Global,30-34 years,2023,25.47901556269,25.479015562689998,25.326602621812135,25.633666312080013,24.86836451608368,24.719604429125326,25.01930877839451,0.6106510466063177,2.4555336005766586,25.48 (25.33 to 25.63),24.87 (24.72 to 25.02)
Global,30-34 years,2030,NA,36.952459602000715,32.36917939330926,41.893272256044014,36.066826557226314,31.593393012329273,40.88922363077539,0.8856330447744014,2.4555336005766684,36.95 (32.37 to 41.89),36.07 (31.59 to 40.89)
Global,30-34 years,2040,NA,74.82254531551273,38.08701807702274,132.78415025371285,73.02928664371487,37.17419327052177,129.60173607740157,1.793258671797858,2.455533600576655,74.82 (38.09 to 132.78),73.03 (37.17 to 129.6)
Global,30-34 years,2050,NA,175.30992675087396,34.82144787215944,542.1870931966198,171.10830483233875,33.98688840752224,529.1925913053544,4.20162191853521,2.4555336005766573,175.31 (34.82 to 542.19),171.11 (33.99 to 529.19)
Global,35-39 years,2023,44.92414622623,44.92414622623,44.72847662828653,45.12039617740589,44.337935987775765,44.144819660874795,44.531625094943706,0.5862102384542354,1.3221414695890603,44.92 (44.73 to 45.12),44.34 (44.14 to 44.53)
Global,35-39 years,2030,NA,61.172352338732516,54.02348321467061,68.85385878254591,60.374121047464094,53.31853672959062,67.9553923593411,0.7982312912684222,1.322141469589064,61.17 (54.02 to 68.85),60.37 (53.32 to 67.96)
Global,35-39 years,2040,NA,119.43712177089758,72.05442397930274,185.85943930134144,117.8785999176158,71.1141937331923,183.43417993896773,1.5585218532817748,1.3221414695890608,119.44 (72.05 to 185.86),117.88 (71.11 to 183.43)
Global,35-39 years,2050,NA,263.1575476258745,73.11343897623868,683.4629976923301,259.7236337576411,72.15938976001907,674.5445642771629,3.4339138682333896,1.322141469589062,263.16 (73.11 to 683.46),259.72 (72.16 to 674.54)
Global,40-44 years,2023,76.47203962191,76.47203962191,76.19164110128418,76.75232284835273,76.61404538775938,76.33312617739045,76.89484908984815,-0.14200576584937608,-0.1853521311016222,76.47 (76.19 to 76.75),76.61 (76.33 to 76.89)
Global,40-44 years,2030,NA,103.28417190334632,91.23326910598031,116.22180336530457,103.47596681301225,91.40268593223985,116.43762298090374,-0.19179490966592994,-0.18535213110162643,103.28 (91.23 to 116.22),103.48 (91.4 to 116.44)
Global,40-44 years,2040,NA,182.39776004232317,116.22916175605623,271.3924728393248,182.73646597631006,116.44499503591648,271.8964386828128,-0.338705933986887,-0.1853521311016252,182.4 (116.23 to 271.39),182.74 (116.44 to 271.9)
Global,40-44 years,2050,NA,385.6198256048921,133.35384441056803,879.7750105455323,386.3359074425477,133.60147759647634,881.4087203924953,-0.7160818376555653,-0.18535213110162543,385.62 (133.35 to 879.78),386.34 (133.6 to 881.41)
Global,45-49 years,2023,103.65498984378,103.65498984378,103.307722550949,104.00214841765722,105.11508674873787,104.76292780621185,105.46713544088158,-1.4600969049578651,-1.3890459972201818,103.65 (103.31 to 104),105.12 (104.76 to 105.47)
Global,45-49 years,2030,NA,143.08968933202877,126.39970908701046,161.00120158309298,145.10526825244497,128.18019089790704,163.26908426274267,-2.0155789204162033,-1.389045997220188,143.09 (126.4 to 161),145.11 (128.18 to 163.27)
Global,45-49 years,2040,NA,227.15843264936026,145.08699617443264,337.65711813825993,230.35821420301514,147.13070940409185,342.4133977334217,-3.199781553654873,-1.3890459972201812,227.16 (145.09 to 337.66),230.36 (147.13 to 342.41)
Global,45-49 years,2050,NA,463.12369702520266,178.74818516515998,985.1417426423161,469.64731424477174,181.2660540330247,999.0185701018015,-6.523617219569076,-1.3890459972201785,463.12 (178.75 to 985.14),469.65 (181.27 to 999.02)
Global,Overall ASIR (25-49y),2023,48.357185624315115,48.357185624315115,48.150219180382344,48.564934763435524,48.377457129631175,48.170889654622506,48.58479376887275,-0.020271505316060257,-0.04190279216565925,48.36 (48.15 to 48.56),48.38 (48.17 to 48.58)
Global,Overall ASIR (25-49y),2030,NA,67.05709393595563,58.753691025198144,76.09511899716335,67.07698119120568,58.7729538562859,76.11546893033803,-0.019887255250040425,-0.029648405305168688,67.06 (58.75 to 76.1),67.08 (58.77 to 76.12)
Global,Overall ASIR (25-49y),2040,NA,119.78328232876702,71.476144894159,189.800745896411,119.67800967517839,71.47130597313833,189.5077845768229,0.10527265358862792,0.08796323892279921,119.78 (71.48 to 189.8),119.68 (71.47 to 189.51)
Global,Overall ASIR (25-49y),2050,NA,259.6072845140696,79.32406754540271,657.3969062569182,259.2257944256626,79.41899929573253,655.3868147696238,0.38149008840696297,0.14716517283790664,259.61 (79.32 to 657.4),259.23 (79.42 to 655.39)
