Location,Year,Measure,Metric,Estimate,Lower_95_UI,Upper_95_UI,Formatted_95_UI
China,1990,Incidence,Number,50064.13278829746,37130.73325661198,64199.666423231596,50064 (37131 to 64200)
China,1990,Incidence,"Weighted rate per 100,000",28.060257093143015,20.835227975856675,35.861594738960186,28.06 (20.84 to 35.86)
China,1990,Deaths,Number,16413.777234133824,12411.72594711757,20952.520658995025,16414 (12412 to 20953)
China,1990,Deaths,"Weighted rate per 100,000",9.247319161045855,7.0042368727865565,11.778698792384015,9.25 (7 to 11.78)
China,1990,YLLs,Number,816139.1882269057,616204.4834857739,1043381.8951701913,816139 (616204 to 1043382)
China,1990,YLLs,"Weighted rate per 100,000",451.501538946744,341.52525679483995,575.9958932505348,451.5 (341.53 to 576)
China,1990,YLDs,Number,33626.27800440823,21683.985289174507,50127.098422060524,33626 (21684 to 50127)
China,1990,YLDs,"Weighted rate per 100,000",18.783631451200527,12.13931258982659,27.946140584448607,18.78 (12.14 to 27.95)
China,1990,DALYs,Number,849765.4662313145,645381.1498083937,1079434.774282754,849765 (645381 to 1079435)
China,1990,DALYs,"Weighted rate per 100,000",470.2851703979483,357.8290303589911,596.2501709188599,470.29 (357.83 to 596.25)
China,2023,Incidence,Number,87220.52950402288,61492.069562922574,122482.18922788465,87221 (61492 to 122482)
China,2023,Incidence,"Weighted rate per 100,000",32.87222078381767,23.18740213752304,46.180735941150495,32.87 (23.19 to 46.18)
China,2023,Deaths,Number,12610.514537765335,9232.231605991092,16868.938169887755,12611 (9232 to 16869)
China,2023,Deaths,"Weighted rate per 100,000",4.720187005409903,3.451300062982586,6.329312988787551,4.72 (3.45 to 6.33)
China,2023,YLLs,Number,597995.5764969192,436745.1992217866,801542.1761999796,597996 (436745 to 801542)
China,2023,YLLs,"Weighted rate per 100,000",225.86437277719733,164.70761858916836,303.5304382920216,225.86 (164.71 to 303.53)
China,2023,YLDs,Number,60261.64566657947,38888.905117576876,93463.93618388538,60262 (38889 to 93464)
China,2023,YLDs,"Weighted rate per 100,000",22.745414029183053,14.658328014574233,35.2421562073246,22.75 (14.66 to 35.24)
China,2023,DALYs,Number,658257.2221634984,487977.6679548533,879835.4167829179,658257 (487978 to 879835)
China,2023,DALYs,"Weighted rate per 100,000",248.60978680638493,184.06528021508294,332.75871682587064,248.61 (184.07 to 332.76)
Global,1990,Incidence,Number,278566.1846605656,244818.44965790748,318546.95610106597,278566 (244818 to 318547)
Global,1990,Incidence,"Weighted rate per 100,000",36.389241723986345,32.01742306476239,41.56268779149799,36.39 (32.02 to 41.56)
Global,1990,Deaths,Number,84800.43036765279,75013.09563800582,94442.54532607664,84800 (75013 to 94443)
Global,1990,Deaths,"Weighted rate per 100,000",11.06730432966295,9.804238654980614,12.299985350866015,11.07 (9.8 to 12.3)
Global,1990,YLLs,Number,4145104.9319686294,3659271.2178004608,4628906.292287795,4145105 (3659271 to 4628906)
Global,1990,YLLs,"Weighted rate per 100,000",534.3256903929903,472.47536529340977,595.3353985162635,534.33 (472.48 to 595.34)
Global,1990,YLDs,Number,188343.95667892552,129431.23214511137,262688.0660625893,188344 (129431 to 262688)
Global,1990,YLDs,"Weighted rate per 100,000",24.550278911673068,16.87553050408018,34.249830255362824,24.55 (16.88 to 34.25)
Global,1990,DALYs,Number,4333448.888647554,3820042.189409976,4850403.143179954,4333449 (3820042 to 4850403)
Global,1990,DALYs,"Weighted rate per 100,000",558.8759693046662,493.5648584710376,624.1998028412693,558.88 (493.56 to 624.2)
Global,2023,Incidence,Number,672228.2803178534,560147.4571397543,806447.6996692366,672228 (560147 to 806448)
Global,2023,Incidence,"Weighted rate per 100,000",48.357185624315115,40.281204219195565,58.021164919107434,48.36 (40.28 to 58.02)
Global,2023,Deaths,Number,179756.27651750957,147224.63424386785,215233.74418226865,179756 (147225 to 215234)
Global,2023,Deaths,"Weighted rate per 100,000",12.920714867618619,10.580057543882832,15.476071698289518,12.92 (10.58 to 15.48)
Global,2023,YLLs,Number,8793441.091993116,7176937.908833722,10563347.47436519,8793441 (7176938 to 10563347)
Global,2023,YLLs,"Weighted rate per 100,000",632.8976859725933,516.4140076982482,760.6075073965234,632.9 (516.41 to 760.61)
Global,2023,YLDs,Number,435528.2518850495,297799.998953979,623726.4141595205,435528 (297800 to 623726)
Global,2023,YLDs,"Weighted rate per 100,000",31.34330853837905,21.428448792213853,44.90488960643805,31.34 (21.43 to 44.9)
Global,2023,DALYs,Number,9228969.343878165,7593015.326021804,11116113.736068465,9228969 (7593015 to 11116114)
Global,2023,DALYs,"Weighted rate per 100,000",664.2409945109762,546.3148202920573,800.4467273383381,664.24 (546.31 to 800.45)
High SDI,1990,Incidence,Number,184163.97058830294,164592.91688987424,204902.89503726896,184164 (164593 to 204903)
High SDI,1990,Incidence,"Weighted rate per 100,000",53.65372658945252,47.999053251799324,59.6736531407378,53.65 (48 to 59.67)
High SDI,1990,Deaths,Number,42524.63756251974,40085.33922671556,45014.01904817272,42525 (40085 to 45014)
High SDI,1990,Deaths,"Weighted rate per 100,000",12.40402415874921,11.702553923864402,13.116719313790062,12.4 (11.7 to 13.12)
High SDI,1990,YLLs,Number,2048922.7325493458,1928277.84208376,2172663.21878141,2048923 (1928278 to 2172663)
High SDI,1990,YLLs,"Weighted rate per 100,000",592.4482146582276,558.0781157146924,627.552484782481,592.45 (558.08 to 627.55)
