Location,Cases_1990,Population_Growth,Age_Structure,Epidemiological_Risk,Cases_2023
China,50064.13278829746,10568.00124816913,12856.463392586367,13731.932074969925,87220.52950402288
Global,278566.1846605656,173666.77031005826,54212.990676864865,165782.33467036474,672228.2803178534
High SDI,184163.97058830294,35766.45234229334,38968.316306811845,-8654.751547910011,250243.9876894981
High-middle SDI,40700.88954979107,25974.68122522805,10840.06316340086,36998.32838062072,114513.9623190407
Middle SDI,17214.98281155188,15546.785369893034,5302.812055103317,49430.45438480142,87495.03462134965
Low-middle SDI,17210.866555619876,16996.032475572356,1836.2492715759072,58233.754731882625,94276.90303465076
Low SDI,18959.51936927357,28361.703189149317,1157.375471194522,76642.14360828535,125120.74163790276
