population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower,measure_clean
1,All Population,1,Deaths,74,Andorra,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,19.42745448,25.11817207,14.07537018,Deaths
1,All Population,1,Deaths,80,France,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,20.61088001,23.57449454,18.03174859,Deaths
1,All Population,1,Deaths,22,Fiji,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,45.65856366,56.98081847,35.76723086,Deaths
1,All Population,1,Deaths,376,Northern Mariana Islands,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,35.96208396,47.62428693,24.6621347,Deaths
1,All Population,1,Deaths,108,Belize,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,12.81045724,15.48771,10.68956922,Deaths
1,All Population,1,Deaths,422,United States Virgin Islands,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,22.79069487,27.09439881,18.79331265,Deaths
1,All Population,1,Deaths,178,Eritrea,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,27.00021948,36.82987347,18.45752219,Deaths
1,All Population,1,Deaths,57,Belarus,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,15.16083937,17.3511835,13.25563317,Deaths
1,All Population,1,Deaths,75,Austria,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,17.72963242,20.20446252,15.60820943,Deaths
1,All Population,1,Deaths,385,Puerto Rico,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,14.17103708,15.46280459,12.72662763,Deaths
1,All Population,1,Deaths,40,Turkmenistan,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,13.45315726,16.10833958,11.36553474,Deaths
1,All Population,1,Deaths,23,Kiribati,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,16.49999156,23.03488943,11.06684806,Deaths
1,All Population,1,Deaths,126,Costa Rica,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,18.01909796,20.09474192,16.03719759,Deaths
1,All Population,1,Deaths,349,Greenland,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,26.02227747,34.5032688,19.22867496,Deaths
1,All Population,1,Deaths,62,Russia,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,15.08376767,16.70978394,13.68374192,Deaths
1,All Population,1,Deaths,143,Iraq,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,29.59669856,41.23018521,20.9303647,Deaths
1,All Population,1,Deaths,90,Norway,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,13.19790493,14.75416228,11.47763711,Deaths
1,All Population,1,Deaths,380,Palau,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,59.09124511,79.14408783,39.89055922,Deaths
1,All Population,1,Deaths,181,Madagascar,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,30.22754199,40.93695466,20.19126257,Deaths
1,All Population,1,Deaths,105,Antigua and Barbuda,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,30.1826282,35.42284391,25.74248875,Deaths
1,All Population,1,Deaths,121,Bolivia (Plurinational State of),2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,17.28905651,24.6794597,12.02594706,Deaths
1,All Population,1,Deaths,92,Spain,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,13.89900031,15.29298131,12.17633943,Deaths
1,All Population,1,Deaths,110,Dominica,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,26.26220096,38.261956,18.70501389,Deaths
1,All Population,1,Deaths,145,Kuwait,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,17.56452799,20.41037416,14.63344367,Deaths
1,All Population,1,Deaths,91,Portugal,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,16.35205483,18.52253703,13.92968783,Deaths
1,All Population,1,Deaths,196,South Africa,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,23.16817357,27.18917686,19.22683431,Deaths
1,All Population,1,Deaths,213,Niger,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,24.096111,34.99106798,15.99934512,Deaths
1,All Population,1,Deaths,128,Guatemala,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,9.707855222,11.31563256,8.361751818,Deaths
1,All Population,1,Deaths,97,Argentina,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,23.87464597,27.02937384,21.14981329,Deaths
1,All Population,1,Deaths,63,Ukraine,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,15.70475653,18.2468596,13.43374763,Deaths
1,All Population,1,Deaths,122,Ecuador,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,10.9979826,11.92026584,10.04018745,Deaths
1,All Population,1,Deaths,140,Bahrain,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,19.43877664,24.95600139,14.43661082,Deaths
1,All Population,1,Deaths,24,Marshall Islands,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,56.71379931,78.067146,38.09774833,Deaths
1,All Population,1,Deaths,163,India,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,15.510313,19.5025278,11.75971349,Deaths
1,All Population,1,Deaths,161,Bangladesh,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,16.38591781,22.70451072,10.39348172,Deaths
1,All Population,1,Deaths,13,Malaysia,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,23.6820971,26.97624478,19.88809448,Deaths
1,All Population,1,Deaths,114,Haiti,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,27.49251658,40.02840964,18.04032412,Deaths
1,All Population,1,Deaths,305,Bermuda,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,25.80239996,30.21272128,21.74079665,Deaths
1,All Population,1,Deaths,6,China,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,6.741441504,8.027781663,5.712871684,Deaths
1,All Population,1,Deaths,164,Nepal,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,10.12781582,14.62566374,6.650613373,Deaths
1,All Population,1,Deaths,217,Sierra Leone,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,22.08928738,30.26745198,14.81436469,Deaths
1,All Population,1,Deaths,182,Malawi,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,24.21194464,34.87875231,15.57262266,Deaths
1,All Population,1,Deaths,115,Jamaica,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,28.67964974,34.07310523,23.45580888,Deaths
1,All Population,1,Deaths,98,Chile,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,13.00870548,13.83433464,11.76873332,Deaths
1,All Population,1,Deaths,150,Oman,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,9.448764507,12.93178173,6.402869136,Deaths
1,All Population,1,Deaths,218,Togo,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,29.71720137,40.15598673,20.52558984,Deaths
1,All Population,1,Deaths,132,Panama,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,14.89858118,17.16469886,12.95923758,Deaths
1,All Population,1,Deaths,151,Qatar,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,16.89417454,22.10494942,12.45113482,Deaths
1,All Population,1,Deaths,157,Yemen,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,7.839613872,12.06262429,4.920092346,Deaths
1,All Population,1,Deaths,116,Saint Lucia,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,21.5418592,25.31524907,17.88995126,Deaths
1,All Population,1,Deaths,7,North Korea,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,14.65614408,19.6407506,10.23983411,Deaths
1,All Population,1,Deaths,200,Benin,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,18.50178137,26.57417942,12.96058091,Deaths
1,All Population,1,Deaths,41,Uzbekistan,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,11.42054242,12.47854632,10.26096984,Deaths
1,All Population,1,Deaths,201,Burkina Faso,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,24.96203111,33.51963399,16.34717648,Deaths
1,All Population,1,Deaths,58,Estonia,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,14.57212142,16.25660103,12.97633985,Deaths
1,All Population,1,Deaths,367,Monaco,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,37.00169027,51.073141,25.91707169,Deaths
1,All Population,1,Deaths,168,Angola,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,24.40366126,34.21886123,15.98032095,Deaths
1,All Population,1,Deaths,28,Solomon Islands,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,36.38885377,51.93652434,24.60311721,Deaths
1,All Population,1,Deaths,133,Venezuela (Bolivarian Republic of),2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,24.80235612,29.50008561,20.72506441,Deaths
1,All Population,1,Deaths,185,Rwanda,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,31.20566453,43.4719616,21.54775447,Deaths
1,All Population,1,Deaths,29,Tonga,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,43.97532403,60.47634154,29.66703747,Deaths
1,All Population,1,Deaths,179,Ethiopia,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,31.32474261,42.24556681,21.45389029,Deaths
1,All Population,1,Deaths,46,Croatia,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,16.52787059,18.30239386,14.71413268,Deaths
1,All Population,1,Deaths,109,Cuba,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,18.65442745,21.71313615,16.19645774,Deaths
1,All Population,1,Deaths,76,Belgium,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,19.61589716,22.29115176,17.16324443,Deaths
1,All Population,1,Deaths,351,Guam,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,18.1586562,20.99279788,14.99880545,Deaths
1,All Population,1,Deaths,111,Dominican Republic,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,21.48338394,25.35043534,16.3312133,Deaths
1,All Population,1,Deaths,393,Saint Kitts and Nevis,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,29.70450723,34.5865579,25.14038601,Deaths
1,All Population,1,Deaths,197,Eswatini,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,20.35415791,31.48537834,13.12399111,Deaths
1,All Population,1,Deaths,214,Nigeria,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,38.72517179,56.3395481,26.0608121,Deaths
1,All Population,1,Deaths,81,Germany,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,22.15011044,24.32886998,19.85517344,Deaths
1,All Population,1,Deaths,47,Czechia,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,16.21840803,17.67775148,14.63543339,Deaths
1,All Population,1,Deaths,186,Seychelles,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,21.57999171,27.56459763,15.67763336,Deaths
1,All Population,1,Deaths,215,Sao Tome and Principe,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,25.08591693,35.81934065,15.81586473,Deaths
1,All Population,1,Deaths,82,Greece,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,20.38392677,22.52708017,18.22217175,Deaths
1,All Population,1,Deaths,127,El Salvador,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,16.44530845,19.17200818,13.90618199,Deaths
1,All Population,1,Deaths,11,Indonesia,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,17.98340862,25.10067818,12.0774168,Deaths
1,All Population,1,Deaths,93,Sweden,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,14.50208333,16.42734241,12.77450628,Deaths
1,All Population,1,Deaths,522,Sudan,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,13.45360425,21.34394425,8.391508801,Deaths
1,All Population,1,Deaths,198,Zimbabwe,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,14.93482278,21.21579655,9.954746163,Deaths
1,All Population,1,Deaths,94,Switzerland,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,15.45236819,17.20870265,13.11192925,Deaths
1,All Population,1,Deaths,25,Micronesia (Federated States of),2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,30.26062709,40.9397516,20.6939324,Deaths
1,All Population,1,Deaths,30,Vanuatu,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,20.53309872,29.735107760000002,13.6388884,Deaths
1,All Population,1,Deaths,48,Hungary,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,19.76938363,21.84143023,17.95606694,Deaths
1,All Population,1,Deaths,175,Burundi,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,20.07637147,28.18888174,12.68195091,Deaths
1,All Population,1,Deaths,49,North Macedonia,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,23.64609106,28.04677854,19.02126036,Deaths
1,All Population,1,Deaths,59,Latvia,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,17.76213572,19.83215444,15.85355102,Deaths
1,All Population,1,Deaths,216,Senegal,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,23.77315802,33.29288658,15.85864325,Deaths
1,All Population,1,Deaths,435,South Sudan,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,27.12615525,37.42497081,17.70244094,Deaths
1,All Population,1,Deaths,95,UK,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,20.82658135,22.38017324,18.841477,Deaths
1,All Population,1,Deaths,144,Jordan,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,21.16323144,24.88107599,17.85555466,Deaths
1,All Population,1,Deaths,117,Saint Vincent and the Grenadines,2,Female,27,Age-standardized,429,Breast cancer,3,Rate,2023,28.34853785,34.19811847,23.14508894,Deaths
