year,location_name,rei_name,val
2012,Global,Behavioral risks,0.222703748
2012,Global,Dietary risks,0.1090861804
2012,Global,Metabolic risks,-0.001447665
2013,China,Behavioral risks,0.2694113548
2013,China,Dietary risks,0.1354882212
2013,China,Metabolic risks,0.0374600406
2013,Global,Behavioral risks,0.2196766846
2013,Global,Dietary risks,0.1084277478
2013,Global,Metabolic risks,-0.0018218712000000001
2014,China,Behavioral risks,0.269550223
2014,China,Dietary risks,0.1354863952
2014,China,Metabolic risks,0.0374556122
2014,Global,Behavioral risks,0.21626492819999998
2014,Global,Dietary risks,0.1072580296
2014,Global,Metabolic risks,-0.0019461258
2015,China,Behavioral risks,0.2693918546
2015,China,Dietary risks,0.1354829078
2015,China,Metabolic risks,0.037495823
2015,Global,Behavioral risks,0.2135575516
2015,Global,Dietary risks,0.1065559988
2015,Global,Metabolic risks,-0.0021314214000000002
2016,China,Behavioral risks,0.2689574082
2016,China,Dietary risks,0.1354803868
2016,China,Metabolic risks,0.0374710616
2016,Global,Behavioral risks,0.2117664354
2016,Global,Dietary risks,0.1062102678
2016,Global,Metabolic risks,-0.0022972598
2017,China,Behavioral risks,0.2683644068
2017,China,Dietary risks,0.1354783244
2017,China,Metabolic risks,0.037555919199999996
2017,Global,Behavioral risks,0.2100188634
2017,Global,Dietary risks,0.1059926154
2017,Global,Metabolic risks,-0.0024258249999999995
2018,China,Behavioral risks,0.2677570526
2018,China,Dietary risks,0.1354764208
2018,China,Metabolic risks,0.037708145
2018,Global,Behavioral risks,0.2079259778
2018,Global,Dietary risks,0.1053576952
2018,Global,Metabolic risks,-0.0024767760000000004
2019,China,Behavioral risks,0.2672695758
2019,China,Dietary risks,0.135475407
2019,China,Metabolic risks,0.03797811
2019,Global,Behavioral risks,0.2061889504
2019,Global,Dietary risks,0.1048575698
2019,Global,Metabolic risks,-0.0025340184
2020,China,Behavioral risks,0.2669287104
2020,China,Dietary risks,0.1354719638
2020,China,Metabolic risks,0.0383611336
2020,Global,Behavioral risks,0.20441362
2020,Global,Dietary risks,0.1041888666
2020,Global,Metabolic risks,-0.0023891121999999993
2021,China,Behavioral risks,0.26673996640000003
2021,China,Dietary risks,0.135472297
2021,China,Metabolic risks,0.0388127394
2021,Global,Behavioral risks,0.202308655
2021,Global,Dietary risks,0.1034093086
2021,Global,Metabolic risks,-0.0021981236
2022,China,Behavioral risks,0.2666335834
2022,China,Dietary risks,0.135467319
2022,China,Metabolic risks,0.0393466152
2022,Global,Behavioral risks,0.20020014719999998
2022,Global,Dietary risks,0.102755352
2022,Global,Metabolic risks,-0.0024673516000000006
2023,China,Behavioral risks,0.2665799582
2023,China,Dietary risks,0.1354777108
2023,China,Metabolic risks,0.0401764146
2023,Global,Behavioral risks,0.198433207
2023,Global,Dietary risks,0.1021336374
2023,Global,Metabolic risks,-0.0025470557999999997
