location_name,year,ASIR_25_49,ASDR_25_49,MIR,Incidence,Deaths
China,1990,28.060257093143015,9.247319161045855,0.32955218943113634,28.060257093143015,9.247319161045855
China,1991,28.666685780653715,9.29257467663352,0.3241593656042653,28.666685780653715,9.29257467663352
China,1992,29.24273352248664,9.310104746098201,0.3183732717373722,29.24273352248664,9.310104746098201
China,1993,29.68171328341747,9.26667980119499,0.3122016479544691,29.68171328341747,9.26667980119499
China,1994,30.121213159729486,9.217908602923503,0.30602713622595296,30.121213159729486,9.217908602923503
China,1995,30.69140328641257,9.209519566796383,0.3000683768302488,30.69140328641257,9.209519566796383
China,1996,31.418856523766426,9.237372611027917,0.2940072820295167,31.418856523766426,9.237372611027917
China,1997,31.8237160446684,9.18635642437,0.2886638509304145,31.8237160446684,9.18635642437
China,1998,32.06859269583129,9.100443373344383,0.2837805656039088,32.06859269583129,9.100443373344383
China,1999,32.203050443219816,8.96120664178178,0.27827198102186357,32.203050443219816,8.96120664178178
China,2000,32.36512739349698,8.843810930926022,0.27325123190162326,32.36512739349698,8.843810930926022
China,2001,32.255406198841385,8.667518184758785,0.26871520796628884,32.255406198841385,8.667518184758785
China,2002,31.555958621025148,8.313835271529149,0.26346324544835076,31.555958621025148,8.313835271529149
China,2003,31.182916148401016,7.979687086839768,0.2558993215664644,31.182916148401016,7.979687086839768
China,2004,30.836998242745185,7.610137936378562,0.24678595096943162,30.836998242745185,7.610137936378562
China,2005,31.04552279162695,7.3310806780391875,0.2361397077203157,31.04552279162695,7.3310806780391875
China,2006,31.2272069553579,7.021110118749262,0.22483951666847984,31.2272069553579,7.021110118749262
China,2007,31.175608746161565,6.731670448342491,0.2159274740439933,31.175608746161565,6.731670448342491
China,2008,30.277859642679328,6.359599904175726,0.21004126378904622,30.277859642679328,6.359599904175726
China,2009,29.36531157189298,6.047494521698848,0.20594007684519886,29.36531157189298,6.047494521698848
China,2010,28.961235532646732,5.792998882139601,0.2000259579951072,28.961235532646732,5.792998882139601
China,2011,28.320205583890914,5.485924167062471,0.19371060534189666,28.320205583890914,5.485924167062471
China,2012,27.6193493728404,5.193257434915287,0.18802968038132345,27.6193493728404,5.193257434915287
China,2013,27.2342885177044,4.95130797449196,0.18180419772204534,27.2342885177044,4.95130797449196
China,2014,27.21780222186442,4.808823498813513,0.17667934609909544,27.21780222186442,4.808823498813513
China,2015,27.051182164739586,4.682788113544191,0.17310844624188243,27.051182164739586,4.682788113544191
China,2016,27.180666366552156,4.6059323084965,0.169456195311107,27.180666366552156,4.6059323084965
China,2017,27.95109746090391,4.60221059413422,0.1646522323701772,27.95109746090391,4.60221059413422
China,2018,28.343889777288062,4.539866255939962,0.1601708972061327,28.343889777288062,4.539866255939962
China,2019,28.62336687489924,4.455563934140901,0.15566176940729254,28.62336687489924,4.455563934140901
China,2020,28.890707478863156,4.386503796207,0.15183095808284472,28.890707478863156,4.386503796207
China,2021,30.194738729035492,4.4919844550767385,0.14876712447778898,30.194738729035492,4.4919844550767385
China,2022,32.50041312929852,4.760080674075864,0.1464621589620576,32.50041312929852,4.760080674075864
China,2023,32.87222078381767,4.720187005409903,0.14359197197086107,32.87222078381767,4.720187005409903
Global,1990,36.389241723986345,11.06730432966295,0.30413671198781317,36.389241723986345,11.06730432966295
Global,1991,36.85582806947811,11.111382504426453,0.3014823729772135,36.85582806947811,11.111382504426453
Global,1992,37.20172653226507,11.092919776572009,0.2981829288743122,37.20172653226507,11.092919776572009
Global,1993,37.6745845604259,11.121769412611735,0.29520615933464744,37.6745845604259,11.121769412611735
Global,1994,38.12939488032264,11.12300454612145,0.2917173110413477,38.12939488032264,11.12300454612145
Global,1995,38.66077469732486,11.09947537545911,0.28709914538332154,38.66077469732486,11.09947537545911
Global,1996,38.919246155038394,11.031658471392674,0.28344995243348364,38.919246155038394,11.031658471392674
Global,1997,38.773424901243324,10.8967370788273,0.2810362279468864,38.773424901243324,10.8967370788273
Global,1998,38.72527580890053,10.816666586595598,0.279317999953651,38.72527580890053,10.816666586595598
Global,1999,38.754687288962714,10.75129389058456,0.27741918830155327,38.754687288962714,10.75129389058456
Global,2000,38.81386039761186,10.67790092394525,0.27510535706987393,38.81386039761186,10.67790092394525
Global,2001,38.778444443739474,10.573113324633361,0.2726543954070422,38.778444443739474,10.573113324633361
Global,2002,38.41269744940754,10.386821911440343,0.27040074249199975,38.41269744940754,10.386821911440343
Global,2003,38.16704216738938,10.19458730185708,0.26710446298528007,38.16704216738938,10.19458730185708
Global,2004,37.90457468927142,10.015190750940233,0.26422116150995756,37.90457468927142,10.015190750940233
Global,2005,37.81647345996701,9.827140990013248,0.2598640246139393,37.81647345996701,9.827140990013248
Global,2006,37.710423825861106,9.684740115643336,0.2568186494101857,37.710423825861106,9.684740115643336
Global,2007,37.651147265219265,9.60862648804451,0.25520142640967025,37.651147265219265,9.60862648804451
Global,2008,37.65081551710467,9.558977649897939,0.25388500935803954,37.65081551710467,9.558977649897939
Global,2009,37.41826943005493,9.482130685417353,0.2534091188568213,37.41826943005493,9.482130685417353
Global,2010,37.2756879260896,9.452761802082657,0.25359053924975533,37.2756879260896,9.452761802082657
Global,2011,37.1270956498571,9.422331033413887,0.2537858366912186,37.1270956498571,9.422331033413887
