Analysis_type,Analysis_ID,Feature,Mean_abs_SHAP,Normalized_importance,Rank,Risk_Factor,Bootstrap_ID
Grouped calendar-block bootstrap,Bootstrap 54,Tobacco_use,3.6199028803583455,0.030395285826034003,4,Tobacco use,54
Grouped calendar-block bootstrap,Bootstrap 55,High_alcohol_use,8.004675260471071,0.0867197926018344,2,High alcohol use,55
Grouped calendar-block bootstrap,Bootstrap 55,High_fasting_plasma_glucose,72.65921022681628,0.7871639306341808,1,High fasting plasma glucose,55
Grouped calendar-block bootstrap,Bootstrap 55,Low_physical_activity,6.036947072845171,0.06540212826504788,3,Low physical activity,55
Grouped calendar-block bootstrap,Bootstrap 55,Tobacco_use,5.604222840815782,0.060714148498937005,4,Tobacco use,55
Grouped calendar-block bootstrap,Bootstrap 56,High_alcohol_use,8.163245115560644,0.082805679826190845,3,High alcohol use,56
Grouped calendar-block bootstrap,Bootstrap 56,High_fasting_plasma_glucose,77.01762725465439,0.7812453127574401,1,High fasting plasma glucose,56
Grouped calendar-block bootstrap,Bootstrap 56,Low_physical_activity,4.460509850824361,0.045246166854021434,4,Low physical activity,56
Grouped calendar-block bootstrap,Bootstrap 56,Tobacco_use,8.941772131358876,0.09070284056234752,2,Tobacco use,56
Grouped calendar-block bootstrap,Bootstrap 57,High_alcohol_use,10.379222184485373,0.09359865884460794,3,High alcohol use,57
Grouped calendar-block bootstrap,Bootstrap 57,High_fasting_plasma_glucose,87.19082490705392,0.7862770571627304,1,High fasting plasma glucose,57
Grouped calendar-block bootstrap,Bootstrap 57,Low_physical_activity,10.855745020300589,0.09789588820807638,2,Low physical activity,57
Grouped calendar-block bootstrap,Bootstrap 57,Tobacco_use,2.4649226976202474,0.02222839578458524,4,Tobacco use,57
Grouped calendar-block bootstrap,Bootstrap 58,High_alcohol_use,8.544249349964016,0.0752805211666191,3,High alcohol use,58
Grouped calendar-block bootstrap,Bootstrap 58,High_fasting_plasma_glucose,89.07391996804405,0.7848004948002034,1,High fasting plasma glucose,58
Grouped calendar-block bootstrap,Bootstrap 58,Low_physical_activity,11.5972413264215,0.10217941160059196,2,Low physical activity,58
Grouped calendar-block bootstrap,Bootstrap 58,Tobacco_use,4.283396451405304,0.03773957243258545,4,Tobacco use,58
Grouped calendar-block bootstrap,Bootstrap 59,High_alcohol_use,13.136350573336378,0.11194910296906702,2,High alcohol use,59
Grouped calendar-block bootstrap,Bootstrap 59,High_fasting_plasma_glucose,86.7550459945903,0.7393339210090705,1,High fasting plasma glucose,59
Grouped calendar-block bootstrap,Bootstrap 59,Low_physical_activity,10.500559082298594,0.08948666247710042,3,Low physical activity,59
Grouped calendar-block bootstrap,Bootstrap 59,Tobacco_use,6.950213468951337,0.05923031354476215,4,Tobacco use,59
Grouped calendar-block bootstrap,Bootstrap 60,High_alcohol_use,13.25258151016691,0.11220248230232406,2,High alcohol use,60
Grouped calendar-block bootstrap,Bootstrap 60,High_fasting_plasma_glucose,88.41683469029034,0.7485778013856463,1,High fasting plasma glucose,60
Grouped calendar-block bootstrap,Bootstrap 60,Low_physical_activity,10.8366759729736,0.09174830904762168,3,Low physical activity,60
Grouped calendar-block bootstrap,Bootstrap 60,Tobacco_use,5.606994437776944,0.04747140726440802,4,Tobacco use,60
Grouped calendar-block bootstrap,Bootstrap 61,High_alcohol_use,13.106771799396066,0.11619590431320795,2,High alcohol use,61
Grouped calendar-block bootstrap,Bootstrap 61,High_fasting_plasma_glucose,86.42612690925598,0.7661964460975667,1,High fasting plasma glucose,61
Grouped calendar-block bootstrap,Bootstrap 61,Low_physical_activity,9.44178858373095,0.08370460549799859,3,Low physical activity,61
Grouped calendar-block bootstrap,Bootstrap 61,Tobacco_use,3.824226549421163,0.03390304409122665,4,Tobacco use,61
Grouped calendar-block bootstrap,Bootstrap 62,High_alcohol_use,21.792810879209462,0.18438817025303805,2,High alcohol use,62
Grouped calendar-block bootstrap,Bootstrap 62,High_fasting_plasma_glucose,76.8133642393,0.6499150459097847,1,High fasting plasma glucose,62
Grouped calendar-block bootstrap,Bootstrap 62,Low_physical_activity,12.326074725126519,0.10429046429878179,3,Low physical activity,62
Grouped calendar-block bootstrap,Bootstrap 62,Tobacco_use,7.257603926825173,0.061406319538395475,4,Tobacco use,62
Grouped calendar-block bootstrap,Bootstrap 63,High_alcohol_use,13.25258151016691,0.11220248230232406,2,High alcohol use,63
Grouped calendar-block bootstrap,Bootstrap 63,High_fasting_plasma_glucose,88.41683469029034,0.7485778013856463,1,High fasting plasma glucose,63
Grouped calendar-block bootstrap,Bootstrap 63,Low_physical_activity,10.8366759729736,0.09174830904762168,3,Low physical activity,63
Grouped calendar-block bootstrap,Bootstrap 63,Tobacco_use,5.606994437776944,0.04747140726440802,4,Tobacco use,63
Grouped calendar-block bootstrap,Bootstrap 64,High_alcohol_use,10.267672026683302,0.0889566166464402,2,High alcohol use,64
Grouped calendar-block bootstrap,Bootstrap 64,High_fasting_plasma_glucose,93.3290725013789,0.8085804165635005,1,High fasting plasma glucose,64
Grouped calendar-block bootstrap,Bootstrap 64,Low_physical_activity,6.803469855995739,0.058943610418468226,3,Low physical activity,64
Grouped calendar-block bootstrap,Bootstrap 64,Tobacco_use,5.023150552272359,0.043519356371590996,4,Tobacco use,64
Grouped calendar-block bootstrap,Bootstrap 65,High_alcohol_use,15.597213358037612,0.12411758108672322,2,High alcohol use,65
Grouped calendar-block bootstrap,Bootstrap 65,High_fasting_plasma_glucose,101.1553253734813,0.8049613742654209,1,High fasting plasma glucose,65
Grouped calendar-block bootstrap,Bootstrap 65,Low_physical_activity,6.689926590332213,0.05323627285074559,3,Low physical activity,65
Grouped calendar-block bootstrap,Bootstrap 65,Tobacco_use,2.222353646378307,0.01768477179711023,4,Tobacco use,65
Grouped calendar-block bootstrap,Bootstrap 66,High_alcohol_use,14.186938908608521,0.1196766136245812,2,High alcohol use,66
Grouped calendar-block bootstrap,Bootstrap 66,High_fasting_plasma_glucose,95.45013942157522,0.8051877525909967,1,High fasting plasma glucose,66
Grouped calendar-block bootstrap,Bootstrap 66,Low_physical_activity,6.18389906865709,0.052165453330035465,3,Low physical activity,66
Grouped calendar-block bootstrap,Bootstrap 66,Tobacco_use,2.7229760013794637,0.022970180454386663,4,Tobacco use,66
Grouped calendar-block bootstrap,Bootstrap 67,High_alcohol_use,14.631403704239604,0.12532955629672007,2,High alcohol use,67
Grouped calendar-block bootstrap,Bootstrap 67,High_fasting_plasma_glucose,84.78071892121258,0.7262139778040334,1,High fasting plasma glucose,67
Grouped calendar-block bootstrap,Bootstrap 67,Low_physical_activity,11.893716352137135,0.10187909671991786,3,Low physical activity,67
Grouped calendar-block bootstrap,Bootstrap 67,Tobacco_use,5.437602366761113,0.04657736917932868,4,Tobacco use,67
Grouped calendar-block bootstrap,Bootstrap 68,High_alcohol_use,8.706823525533956,0.07702868425319696,3,High alcohol use,68
Grouped calendar-block bootstrap,Bootstrap 68,High_fasting_plasma_glucose,87.42454057581284,0.7734390518248285,1,High fasting plasma glucose,68
Grouped calendar-block bootstrap,Bootstrap 68,Low_physical_activity,11.98519726137028,0.10603223699790743,2,Low physical activity,68
Grouped calendar-block bootstrap,Bootstrap 68,Tobacco_use,4.9169612782021215,0.043500026924066994,4,Tobacco use,68
Grouped calendar-block bootstrap,Bootstrap 69,High_alcohol_use,7.371922150210422,0.069389385517114,4,High alcohol use,69
Grouped calendar-block bootstrap,Bootstrap 69,High_fasting_plasma_glucose,81.76201243383044,0.7695978994113751,1,High fasting plasma glucose,69
Grouped calendar-block bootstrap,Bootstrap 69,Low_physical_activity,8.195578538900351,0.07714218180604498,3,Low physical activity,69
Grouped calendar-block bootstrap,Bootstrap 69,Tobacco_use,8.91039799995282,0.08387053326546587,2,Tobacco use,69
Grouped calendar-block bootstrap,Bootstrap 70,High_alcohol_use,8.79957259498975,0.07897787344992732,2,High alcohol use,70
Grouped calendar-block bootstrap,Bootstrap 70,High_fasting_plasma_glucose,90.59500819374533,0.8131077975758302,1,High fasting plasma glucose,70
Grouped calendar-block bootstrap,Bootstrap 70,Low_physical_activity,7.046753985018414,0.06324598592191098,3,Low physical activity,70
Grouped calendar-block bootstrap,Bootstrap 70,Tobacco_use,4.976866433813291,0.04466834305233152,4,Tobacco use,70
Grouped calendar-block bootstrap,Bootstrap 71,High_alcohol_use,8.91032127321643,0.07747981479889059,2,High alcohol use,71
Grouped calendar-block bootstrap,Bootstrap 71,High_fasting_plasma_glucose,93.28569331730114,0.8111669624457364,1,High fasting plasma glucose,71
Grouped calendar-block bootstrap,Bootstrap 71,Low_physical_activity,8.228943720459938,0.0715548874054884,3,Low physical activity,71
Grouped calendar-block bootstrap,Bootstrap 71,Tobacco_use,4.576881798532079,0.03979833534988466,4,Tobacco use,71
Grouped calendar-block bootstrap,Bootstrap 72,High_alcohol_use,5.335887507853262,0.048893138607892205,2,High alcohol use,72
Grouped calendar-block bootstrap,Bootstrap 72,High_fasting_plasma_glucose,95.48329434114343,0.8749206084439963,1,High fasting plasma glucose,72
Grouped calendar-block bootstrap,Bootstrap 72,Low_physical_activity,5.13069899481009,0.047012980828291015,3,Low physical activity,72
Grouped calendar-block bootstrap,Bootstrap 72,Tobacco_use,3.1837861650842516,0.029173272119820466,4,Tobacco use,72
Grouped calendar-block bootstrap,Bootstrap 73,High_alcohol_use,7.110577861581217,0.05972783441947075,3,High alcohol use,73
Grouped calendar-block bootstrap,Bootstrap 73,High_fasting_plasma_glucose,96.00831813251271,0.8064561052475991,1,High fasting plasma glucose,73
Grouped calendar-block bootstrap,Bootstrap 73,Low_physical_activity,11.691898991605814,0.0982102749753896,2,Low physical activity,73
Grouped calendar-block bootstrap,Bootstrap 73,Tobacco_use,4.238856331697281,0.03560578535754054,4,Tobacco use,73
Grouped calendar-block bootstrap,Bootstrap 74,High_alcohol_use,9.655621624343535,0.08071501435391763,3,High alcohol use,74
Grouped calendar-block bootstrap,Bootstrap 74,High_fasting_plasma_glucose,90.11664307678447,0.7533193016937486,1,High fasting plasma glucose,74
Grouped calendar-block bootstrap,Bootstrap 74,Low_physical_activity,9.594107225666042,0.08020079209403656,4,Low physical activity,74
Grouped calendar-block bootstrap,Bootstrap 74,Tobacco_use,10.259718728480477,0.08576489185829721,2,Tobacco use,74
Grouped calendar-block bootstrap,Bootstrap 75,High_alcohol_use,7.5897493694635,0.06499828423099882,3,High alcohol use,75
Grouped calendar-block bootstrap,Bootstrap 75,High_fasting_plasma_glucose,94.35576612739003,0.8080586863983983,1,High fasting plasma glucose,75
Grouped calendar-block bootstrap,Bootstrap 75,Low_physical_activity,9.598481191355077,0.08220097638160802,2,Low physical activity,75
Grouped calendar-block bootstrap,Bootstrap 75,Tobacco_use,5.224460498909192,0.04474205298899477,4,Tobacco use,75
Grouped calendar-block bootstrap,Bootstrap 76,High_alcohol_use,13.077414905236047,0.12335250234639238,2,High alcohol use,76
Grouped calendar-block bootstrap,Bootstrap 76,High_fasting_plasma_glucose,82.0443626572104,0.773882109768478,1,High fasting plasma glucose,76
Grouped calendar-block bootstrap,Bootstrap 76,Low_physical_activity,8.182203273562823,0.0771784986417084,3,Low physical activity,76
Grouped calendar-block bootstrap,Bootstrap 76,Tobacco_use,2.712635418055031,0.0255868892434212,4,Tobacco use,76
Grouped calendar-block bootstrap,Bootstrap 77,High_alcohol_use,13.704574175858323,0.11896051797448427,2,High alcohol use,77
Grouped calendar-block bootstrap,Bootstrap 77,High_fasting_plasma_glucose,88.02232421566458,0.7640646945790736,1,High fasting plasma glucose,77
Grouped calendar-block bootstrap,Bootstrap 77,Low_physical_activity,7.013665270761532,0.060881078302981104,3,Low physical activity,77
Grouped calendar-block bootstrap,Bootstrap 77,Tobacco_use,6.462147364896887,0.05609370914346091,4,Tobacco use,77
Grouped calendar-block bootstrap,Bootstrap 78,High_alcohol_use,8.58929356029805,0.07269493781609679,3,High alcohol use,78
Grouped calendar-block bootstrap,Bootstrap 78,High_fasting_plasma_glucose,90.81867944352767,0.7686380967584695,1,High fasting plasma glucose,78
Grouped calendar-block bootstrap,Bootstrap 78,Low_physical_activity,12.693881943033022,0.10743385960854722,2,Low physical activity,78
Grouped calendar-block bootstrap,Bootstrap 78,Tobacco_use,6.053463956187753,0.05123310581688652,4,Tobacco use,78
Grouped calendar-block bootstrap,Bootstrap 79,High_alcohol_use,9.990045422030722,0.09204266887627326,2,High alcohol use,79
Grouped calendar-block bootstrap,Bootstrap 79,High_fasting_plasma_glucose,85.32674798395703,0.7861527429752282,1,High fasting plasma glucose,79
Grouped calendar-block bootstrap,Bootstrap 79,Low_physical_activity,9.606609404262375,0.0885099047167771,3,Low physical activity,79
Grouped calendar-block bootstrap,Bootstrap 79,Tobacco_use,3.6137087706805153,0.03329468343172146,4,Tobacco use,79
Grouped calendar-block bootstrap,Bootstrap 80,High_alcohol_use,10.669557162965921,0.09255778747230427,2,High alcohol use,80
Grouped calendar-block bootstrap,Bootstrap 80,High_fasting_plasma_glucose,88.24083596397848,0.7654841167992784,1,High fasting plasma glucose,80
Grouped calendar-block bootstrap,Bootstrap 80,Low_physical_activity,10.190869906714514,0.08840520338159755,3,Low physical activity,80
Grouped calendar-block bootstrap,Bootstrap 80,Tobacco_use,6.173285487269545,0.05355289234681987,4,Tobacco use,80
Grouped calendar-block bootstrap,Bootstrap 81,High_alcohol_use,9.35611204171882,0.08717730341269532,2,High alcohol use,81
Grouped calendar-block bootstrap,Bootstrap 81,High_fasting_plasma_glucose,88.32255693603965,0.822961750550356,1,High fasting plasma glucose,81
Grouped calendar-block bootstrap,Bootstrap 81,Low_physical_activity,5.209985779127216,0.048545005555465856,3,Low physical activity,81
Grouped calendar-block bootstrap,Bootstrap 81,Tobacco_use,4.434142295314985,0.04131594048148285,4,Tobacco use,81
Grouped calendar-block bootstrap,Bootstrap 82,High_alcohol_use,11.013530290170628,0.09746268413422784,2,High alcohol use,82
Grouped calendar-block bootstrap,Bootstrap 82,High_fasting_plasma_glucose,88.34600839334375,0.7818055504187391,1,High fasting plasma glucose,82
Grouped calendar-block bootstrap,Bootstrap 82,Low_physical_activity,9.356656899149803,0.08280041656834204,3,Low physical activity,82
Grouped calendar-block bootstrap,Bootstrap 82,Tobacco_use,4.286338546218843,0.03793134887869095,4,Tobacco use,82
Grouped calendar-block bootstrap,Bootstrap 83,High_alcohol_use,6.776397978163818,0.06086189931061633,3,High alcohol use,83
Grouped calendar-block bootstrap,Bootstrap 83,High_fasting_plasma_glucose,90.95656839188408,0.8169221354685036,1,High fasting plasma glucose,83
Grouped calendar-block bootstrap,Bootstrap 83,Low_physical_activity,10.230688989425406,0.09188645135056847,2,Low physical activity,83
Grouped calendar-block bootstrap,Bootstrap 83,Tobacco_use,3.3769050719326033,0.030329513870311704,4,Tobacco use,83
Grouped calendar-block bootstrap,Bootstrap 84,High_alcohol_use,9.48868719006286,0.08337443092015971,2,High alcohol use,84
Grouped calendar-block bootstrap,Bootstrap 84,High_fasting_plasma_glucose,91.77928196682649,0.8064387887355723,1,High fasting plasma glucose,84
Grouped calendar-block bootstrap,Bootstrap 84,Low_physical_activity,8.469511228975128,0.07441921782680515,3,Low physical activity,84
Grouped calendar-block bootstrap,Bootstrap 84,Tobacco_use,4.0706390260609195,0.03576756251746286,4,Tobacco use,84
Grouped calendar-block bootstrap,Bootstrap 85,High_alcohol_use,19.980016220591086,0.16975876357747421,2,High alcohol use,85
Grouped calendar-block bootstrap,Bootstrap 85,High_fasting_plasma_glucose,81.01707464105942,0.688355718428106,1,High fasting plasma glucose,85
Grouped calendar-block bootstrap,Bootstrap 85,Low_physical_activity,6.502648483523551,0.055249282801094673,4,Low physical activity,85
Grouped calendar-block bootstrap,Bootstrap 85,Tobacco_use,10.196783647423281,0.0866362351933253,3,Tobacco use,85
Grouped calendar-block bootstrap,Bootstrap 86,High_alcohol_use,5.826231025619542,0.053470943842554665,3,High alcohol use,86
Grouped calendar-block bootstrap,Bootstrap 86,High_fasting_plasma_glucose,90.6036129881354,0.831525677701045,1,High fasting plasma glucose,86
Grouped calendar-block bootstrap,Bootstrap 86,Low_physical_activity,7.276691108788637,0.06678271766545325,2,Low physical activity,86
Grouped calendar-block bootstrap,Bootstrap 86,Tobacco_use,5.254156552824904,0.04822066079094697,4,Tobacco use,86
Grouped calendar-block bootstrap,Bootstrap 87,High_alcohol_use,12.166534496054929,0.11005729122883545,2,High alcohol use,87
Grouped calendar-block bootstrap,Bootstrap 87,High_fasting_plasma_glucose,85.69307120337206,0.7751712122117401,1,High fasting plasma glucose,87
Grouped calendar-block bootstrap,Bootstrap 87,Low_physical_activity,9.42460660377846,0.0852540774076287,3,Low physical activity,87
Grouped calendar-block bootstrap,Bootstrap 87,Tobacco_use,3.263070482064915,0.029517419151795704,4,Tobacco use,87
Grouped calendar-block bootstrap,Bootstrap 88,High_alcohol_use,16.211212580344256,0.12677242490143026,2,High alcohol use,88
Grouped calendar-block bootstrap,Bootstrap 88,High_fasting_plasma_glucose,100.12693543153651,0.7829972211946201,1,High fasting plasma glucose,88
Grouped calendar-block bootstrap,Bootstrap 88,Low_physical_activity,7.0728730700033555,0.05531019136665396,3,Low physical activity,88
Grouped calendar-block bootstrap,Bootstrap 88,Tobacco_use,4.465467775602113,0.03492016253729579,4,Tobacco use,88
Grouped calendar-block bootstrap,Bootstrap 89,High_alcohol_use,18.728194699787043,0.1597747349064014,2,High alcohol use,89
Grouped calendar-block bootstrap,Bootstrap 89,High_fasting_plasma_glucose,81.3143138184267,0.6937119750566663,1,High fasting plasma glucose,89
Grouped calendar-block bootstrap,Bootstrap 89,Low_physical_activity,11.598306637191596,0.09894794442421698,3,Low physical activity,89
Grouped calendar-block bootstrap,Bootstrap 89,Tobacco_use,5.575431272781947,0.04756534561271542,4,Tobacco use,89
Grouped calendar-block bootstrap,Bootstrap 90,High_alcohol_use,17.5991047670736,0.15527189632530394,2,High alcohol use,90
Grouped calendar-block bootstrap,Bootstrap 90,High_fasting_plasma_glucose,83.11374636187273,0.7332889473135517,1,High fasting plasma glucose,90
Grouped calendar-block bootstrap,Bootstrap 90,Low_physical_activity,7.819852598274456,0.06899233557550603,3,Low physical activity,90
Grouped calendar-block bootstrap,Bootstrap 90,Tobacco_use,4.811083420212655,0.042446820785638426,4,Tobacco use,90
Grouped calendar-block bootstrap,Bootstrap 91,High_alcohol_use,9.308871359597234,0.07992607997617046,2,High alcohol use,91
Grouped calendar-block bootstrap,Bootstrap 91,High_fasting_plasma_glucose,95.18950352388269,0.8172982070160424,1,High fasting plasma glucose,91
Grouped calendar-block bootstrap,Bootstrap 91,Low_physical_activity,7.0287495284834325,0.06034892687252086,3,Low physical activity,91
Grouped calendar-block bootstrap,Bootstrap 91,Tobacco_use,4.941384519947529,0.04242678613526624,4,Tobacco use,91
Grouped calendar-block bootstrap,Bootstrap 92,High_alcohol_use,8.36144394155811,0.07651332999319418,3,High alcohol use,92
Grouped calendar-block bootstrap,Bootstrap 92,High_fasting_plasma_glucose,86.88466971946113,0.7950582999849698,1,High fasting plasma glucose,92
Grouped calendar-block bootstrap,Bootstrap 92,Low_physical_activity,9.356562929951092,0.08561939684882124,2,Low physical activity,92
Grouped calendar-block bootstrap,Bootstrap 92,Tobacco_use,4.678202208865653,0.042808973173014735,4,Tobacco use,92
Grouped calendar-block bootstrap,Bootstrap 93,High_alcohol_use,16.68579380862853,0.14485287294308216,2,High alcohol use,93
Grouped calendar-block bootstrap,Bootstrap 93,High_fasting_plasma_glucose,80.94468617947662,0.7026977845375348,1,High fasting plasma glucose,93
Grouped calendar-block bootstrap,Bootstrap 93,Low_physical_activity,8.681309787534616,0.07536426963294994,4,Low physical activity,93
Grouped calendar-block bootstrap,Bootstrap 93,Tobacco_use,8.879531387765619,0.07708507288643301,3,Tobacco use,93
Grouped calendar-block bootstrap,Bootstrap 94,High_alcohol_use,18.415939988809473,0.15323359896866154,2,High alcohol use,94
Grouped calendar-block bootstrap,Bootstrap 94,High_fasting_plasma_glucose,92.13411659002304,0.7666207796868576,1,High fasting plasma glucose,94
Grouped calendar-block bootstrap,Bootstrap 94,Low_physical_activity,6.016331373223939,0.05006011691324869,3,Low physical activity,94
Grouped calendar-block bootstrap,Bootstrap 94,Tobacco_use,3.615739941290196,0.030085504431232205,4,Tobacco use,94
Grouped calendar-block bootstrap,Bootstrap 95,High_alcohol_use,72.04426824906292,0.6971272666299265,1,High alcohol use,95
Grouped calendar-block bootstrap,Bootstrap 95,High_fasting_plasma_glucose,17.209755699511838,0.16652802841571696,2,High fasting plasma glucose,95
Grouped calendar-block bootstrap,Bootstrap 95,Low_physical_activity,9.852491088847026,0.09533638621352744,3,Low physical activity,95
Grouped calendar-block bootstrap,Bootstrap 95,Tobacco_use,4.237984163336018,0.04100831874082893,4,Tobacco use,95
Grouped calendar-block bootstrap,Bootstrap 96,High_alcohol_use,7.5897493694635,0.06499828423099882,3,High alcohol use,96
Grouped calendar-block bootstrap,Bootstrap 96,High_fasting_plasma_glucose,94.35576612739003,0.8080586863983983,1,High fasting plasma glucose,96
Grouped calendar-block bootstrap,Bootstrap 96,Low_physical_activity,9.598481191355077,0.08220097638160802,2,Low physical activity,96
Grouped calendar-block bootstrap,Bootstrap 96,Tobacco_use,5.224460498909192,0.04474205298899477,4,Tobacco use,96
Grouped calendar-block bootstrap,Bootstrap 97,High_alcohol_use,14.37378141031984,0.12418090449137338,2,High alcohol use,97
Grouped calendar-block bootstrap,Bootstrap 97,High_fasting_plasma_glucose,88.68082565489938,0.7661494791454567,1,High fasting plasma glucose,97
Grouped calendar-block bootstrap,Bootstrap 97,Low_physical_activity,8.054925153360648,0.06958975252235884,3,Low physical activity,97
Grouped calendar-block bootstrap,Bootstrap 97,Tobacco_use,4.6391931526253325,0.040079863840811025,4,Tobacco use,97
Grouped calendar-block bootstrap,Bootstrap 98,High_alcohol_use,13.145288996979156,0.11136004731510585,2,High alcohol use,98
Grouped calendar-block bootstrap,Bootstrap 98,High_fasting_plasma_glucose,88.34354669627021,0.7484005518890999,1,High fasting plasma glucose,98
Grouped calendar-block bootstrap,Bootstrap 98,Low_physical_activity,8.396304992761682,0.07112912629618644,3,Low physical activity,98
Grouped calendar-block bootstrap,Bootstrap 98,Tobacco_use,8.157993399439489,0.06911027449960773,4,Tobacco use,98
Grouped calendar-block bootstrap,Bootstrap 99,High_alcohol_use,12.166534496054929,0.11005729122883545,2,High alcohol use,99
Grouped calendar-block bootstrap,Bootstrap 99,High_fasting_plasma_glucose,85.69307120337206,0.7751712122117401,1,High fasting plasma glucose,99
Grouped calendar-block bootstrap,Bootstrap 99,Low_physical_activity,9.42460660377846,0.0852540774076287,3,Low physical activity,99
Grouped calendar-block bootstrap,Bootstrap 99,Tobacco_use,3.263070482064915,0.029517419151795704,4,Tobacco use,99
Grouped calendar-block bootstrap,Bootstrap 100,High_alcohol_use,9.680584830396315,0.08538463095147364,2,High alcohol use,100
Grouped calendar-block bootstrap,Bootstrap 100,High_fasting_plasma_glucose,92.07267056326656,0.8120987661898603,1,High fasting plasma glucose,100
Grouped calendar-block bootstrap,Bootstrap 100,Low_physical_activity,6.864725434736294,0.060548206342628245,3,Low physical activity,100
Grouped calendar-block bootstrap,Bootstrap 100,Tobacco_use,4.758217235840857,0.04196839651603775,4,Tobacco use,100
Grouped calendar-block bootstrap,Bootstrap 101,High_alcohol_use,8.31215828547583,0.06946161174723745,3,High alcohol use,101
Grouped calendar-block bootstrap,Bootstrap 101,High_fasting_plasma_glucose,94.50584657542846,0.7897501704385089,1,High fasting plasma glucose,101
Grouped calendar-block bootstrap,Bootstrap 101,Low_physical_activity,11.699803721291177,0.09777090325953643,2,Low physical activity,101
Grouped calendar-block bootstrap,Bootstrap 101,Tobacco_use,5.14768832165967,0.04301731455471717,4,Tobacco use,101
Grouped calendar-block bootstrap,Bootstrap 102,High_alcohol_use,6.971064283194788,0.06534154597101591,3,High alcohol use,102
Grouped calendar-block bootstrap,Bootstrap 102,High_fasting_plasma_glucose,87.63916413994396,0.8214640175269126,1,High fasting plasma glucose,102
Grouped calendar-block bootstrap,Bootstrap 102,Low_physical_activity,8.652883509152076,0.08110566229579948,2,Low physical activity,102
Grouped calendar-block bootstrap,Bootstrap 102,Tobacco_use,3.4234406982055483,0.03208877420627196,4,Tobacco use,102
Grouped calendar-block bootstrap,Bootstrap 103,High_alcohol_use,11.734308167190894,0.10750277496583306,2,High alcohol use,103
Grouped calendar-block bootstrap,Bootstrap 103,High_fasting_plasma_glucose,83.79408012838924,0.767671686405666,1,High fasting plasma glucose,103
Grouped calendar-block bootstrap,Bootstrap 103,Low_physical_activity,9.602685450850164,0.08797411133080485,3,Low physical activity,103
Grouped calendar-block bootstrap,Bootstrap 103,Tobacco_use,4.022463647561038,0.03685142729769623,4,Tobacco use,103
Grouped calendar-block bootstrap,Bootstrap 104,High_alcohol_use,7.4292441984529,0.06144964272490548,3,High alcohol use,104
Grouped calendar-block bootstrap,Bootstrap 104,High_fasting_plasma_glucose,103.1125937237459,0.8528770727555306,1,High fasting plasma glucose,104
Grouped calendar-block bootstrap,Bootstrap 104,Low_physical_activity,7.766280085812597,0.06423737379289726,2,Low physical activity,104
Grouped calendar-block bootstrap,Bootstrap 104,Tobacco_use,2.5915954648845774,0.021435910726666667,4,Tobacco use,104
Grouped calendar-block bootstrap,Bootstrap 105,High_alcohol_use,18.132760082272924,0.1532667302698655,2,High alcohol use,105
Grouped calendar-block bootstrap,Bootstrap 105,High_fasting_plasma_glucose,88.32717649095198,0.7465833923414827,1,High fasting plasma glucose,105
Grouped calendar-block bootstrap,Bootstrap 105,Low_physical_activity,5.974265154407305,0.05049733641357616,3,Low physical activity,105
Grouped calendar-block bootstrap,Bootstrap 105,Tobacco_use,5.874318656051422,0.04965254097507563,4,Tobacco use,105
Grouped calendar-block bootstrap,Bootstrap 106,High_alcohol_use,8.9098757987075,0.07843684746658003,3,High alcohol use,106
Grouped calendar-block bootstrap,Bootstrap 106,High_fasting_plasma_glucose,89.03584319633596,0.7838146130906136,1,High fasting plasma glucose,106
Grouped calendar-block bootstrap,Bootstrap 106,Low_physical_activity,4.678309305631282,0.04118484271806732,4,Low physical activity,106
Grouped calendar-block bootstrap,Bootstrap 106,Tobacco_use,10.96895875179154,0.09656369672473883,2,Tobacco use,106
Grouped calendar-block bootstrap,Bootstrap 107,High_alcohol_use,7.961532758713207,0.07082596381853551,3,High alcohol use,107
Grouped calendar-block bootstrap,Bootstrap 107,High_fasting_plasma_glucose,84.97547293428113,0.7559436045678071,1,High fasting plasma glucose,107
Grouped calendar-block bootstrap,Bootstrap 107,Low_physical_activity,12.60865492833888,0.11216686093234947,2,Low physical activity,107
Grouped calendar-block bootstrap,Bootstrap 107,Tobacco_use,6.8641440530033675,0.061063570681307903,4,Tobacco use,107
Grouped calendar-block bootstrap,Bootstrap 108,High_alcohol_use,8.742827528013903,0.07209372866707522,2,High alcohol use,108
Grouped calendar-block bootstrap,Bootstrap 108,High_fasting_plasma_glucose,102.56151994256412,0.8457266675717825,1,High fasting plasma glucose,108
Grouped calendar-block bootstrap,Bootstrap 108,Low_physical_activity,5.580418400532182,0.04601636812891745,3,Low physical activity,108
Grouped calendar-block bootstrap,Bootstrap 108,Tobacco_use,4.385526145381086,0.036163235632224816,4,Tobacco use,108
Grouped calendar-block bootstrap,Bootstrap 109,High_alcohol_use,7.233633173544727,0.06649915766978652,2,High alcohol use,109
Grouped calendar-block bootstrap,Bootstrap 109,High_fasting_plasma_glucose,91.88372807976077,0.8446917854793017,1,High fasting plasma glucose,109
Grouped calendar-block bootstrap,Bootstrap 109,Low_physical_activity,5.829443287454984,0.05359036862932108,3,Low physical activity,109
Grouped calendar-block bootstrap,Bootstrap 109,Tobacco_use,3.8310120063998245,0.03521868822159066,4,Tobacco use,109
