Analysis_type,Analysis_ID,Feature,Mean_abs_SHAP,Normalized_importance,Rank,Risk_Factor,Bootstrap_ID
Grouped calendar-block bootstrap,Bootstrap 11,Tobacco_use,4.980914713080753,0.043369920492453425,4,Tobacco use,11
Grouped calendar-block bootstrap,Bootstrap 12,High_alcohol_use,10.291106547261862,0.09291987566761084,2,High alcohol use,12
Grouped calendar-block bootstrap,Bootstrap 12,High_fasting_plasma_glucose,89.74171368655037,0.8102907923124437,1,High fasting plasma glucose,12
Grouped calendar-block bootstrap,Bootstrap 12,Low_physical_activity,7.559683698886896,0.06825746737350934,3,Low physical activity,12
Grouped calendar-block bootstrap,Bootstrap 12,Tobacco_use,3.159974730474984,0.028531864646436082,4,Tobacco use,12
Grouped calendar-block bootstrap,Bootstrap 13,High_alcohol_use,6.842338721410316,0.05931584057652194,3,High alcohol use,13
Grouped calendar-block bootstrap,Bootstrap 13,High_fasting_plasma_glucose,94.31007921415217,0.8175686488482955,1,High fasting plasma glucose,13
Grouped calendar-block bootstrap,Bootstrap 13,Low_physical_activity,8.24343294241356,0.07146184574075984,2,Low physical activity,13
Grouped calendar-block bootstrap,Bootstrap 13,Tobacco_use,5.9584736145375405,0.051653664834422755,4,Tobacco use,13
Grouped calendar-block bootstrap,Bootstrap 14,High_alcohol_use,9.253563550640555,0.08452525008577143,3,High alcohol use,14
Grouped calendar-block bootstrap,Bootstrap 14,High_fasting_plasma_glucose,86.96310495138168,0.7943510793462804,1,High fasting plasma glucose,14
Grouped calendar-block bootstrap,Bootstrap 14,Low_physical_activity,9.445759271846756,0.08628083227975168,2,Low physical activity,14
Grouped calendar-block bootstrap,Bootstrap 14,Tobacco_use,3.8144864174592144,0.03484283828819651,4,Tobacco use,14
Grouped calendar-block bootstrap,Bootstrap 15,High_alcohol_use,13.214241571461454,0.11770994770785034,2,High alcohol use,15
Grouped calendar-block bootstrap,Bootstrap 15,High_fasting_plasma_glucose,88.29337630131666,0.7865005835691031,1,High fasting plasma glucose,15
Grouped calendar-block bootstrap,Bootstrap 15,Low_physical_activity,6.204761636377696,0.05527083516734277,3,Low physical activity,15
Grouped calendar-block bootstrap,Bootstrap 15,Tobacco_use,4.548664088098003,0.04051863355570369,4,Tobacco use,15
Grouped calendar-block bootstrap,Bootstrap 16,High_alcohol_use,4.450291257658425,0.0405620477019389,4,High alcohol use,16
Grouped calendar-block bootstrap,Bootstrap 16,High_fasting_plasma_glucose,84.65620998529828,0.7715965155718315,1,High fasting plasma glucose,16
Grouped calendar-block bootstrap,Bootstrap 16,Low_physical_activity,6.359950085625272,0.057967576461684905,3,Low physical activity,16
Grouped calendar-block bootstrap,Bootstrap 16,Tobacco_use,14.249194448485094,0.12987386026454473,2,Tobacco use,16
Grouped calendar-block bootstrap,Bootstrap 17,High_alcohol_use,11.675226388784015,0.09987729065985404,3,High alcohol use,17
Grouped calendar-block bootstrap,Bootstrap 17,High_fasting_plasma_glucose,86.44243366244962,0.7394833971308399,1,High fasting plasma glucose,17
Grouped calendar-block bootstrap,Bootstrap 17,Low_physical_activity,13.045421159092118,0.11159880566757524,2,Low physical activity,17
Grouped calendar-block bootstrap,Bootstrap 17,Tobacco_use,5.732624626806116,0.0490405065417309,4,Tobacco use,17
Grouped calendar-block bootstrap,Bootstrap 18,High_alcohol_use,8.515369670331369,0.07649441545251354,3,High alcohol use,18
Grouped calendar-block bootstrap,Bootstrap 18,High_fasting_plasma_glucose,86.12282444378909,0.773649925721983,1,High fasting plasma glucose,18
Grouped calendar-block bootstrap,Bootstrap 18,Low_physical_activity,12.613968868465985,0.11331254102700171,2,Low physical activity,18
Grouped calendar-block bootstrap,Bootstrap 18,Tobacco_use,4.067985291735214,0.036543117798501716,4,Tobacco use,18
Grouped calendar-block bootstrap,Bootstrap 19,High_alcohol_use,6.7448583199697385,0.05922084234292633,3,High alcohol use,19
Grouped calendar-block bootstrap,Bootstrap 19,High_fasting_plasma_glucose,93.64876929451438,0.8222498885676222,1,High fasting plasma glucose,19
Grouped calendar-block bootstrap,Bootstrap 19,Low_physical_activity,8.62714559427079,0.075747599856193,2,Low physical activity,19
Grouped calendar-block bootstrap,Bootstrap 19,Tobacco_use,4.872546324133873,0.04278166923325855,4,Tobacco use,19
Grouped calendar-block bootstrap,Bootstrap 20,High_alcohol_use,7.5295615773867155,0.0658615046196861,2,High alcohol use,20
Grouped calendar-block bootstrap,Bootstrap 20,High_fasting_plasma_glucose,94.65499091849608,0.8279526048870632,1,High fasting plasma glucose,20
Grouped calendar-block bootstrap,Bootstrap 20,Low_physical_activity,7.409514183682554,0.0648114432191959,3,Low physical activity,20
Grouped calendar-block bootstrap,Bootstrap 20,Tobacco_use,4.730099172183476,0.04137444727405478,4,Tobacco use,20
Grouped calendar-block bootstrap,Bootstrap 21,High_alcohol_use,16.204531208557242,0.13732808875986152,2,High alcohol use,21
Grouped calendar-block bootstrap,Bootstrap 21,High_fasting_plasma_glucose,93.45132604627048,0.7919693468967445,1,High fasting plasma glucose,21
Grouped calendar-block bootstrap,Bootstrap 21,Low_physical_activity,6.15180142381612,0.052134499979656,3,Low physical activity,21
Grouped calendar-block bootstrap,Bootstrap 21,Tobacco_use,2.1910068157348124,0.018568064363737993,4,Tobacco use,21
Grouped calendar-block bootstrap,Bootstrap 22,High_alcohol_use,12.224445386932176,0.11235254805855159,2,High alcohol use,22
Grouped calendar-block bootstrap,Bootstrap 22,High_fasting_plasma_glucose,86.78159937017104,0.7975931426924218,1,High fasting plasma glucose,22
Grouped calendar-block bootstrap,Bootstrap 22,Low_physical_activity,5.868500756077907,0.053936272146441845,3,Low physical activity,22
Grouped calendar-block bootstrap,Bootstrap 22,Tobacco_use,3.9297993652412995,0.036118037102584856,4,Tobacco use,22
Grouped calendar-block bootstrap,Bootstrap 23,High_alcohol_use,10.62637964627322,0.09659163928290643,3,High alcohol use,23
Grouped calendar-block bootstrap,Bootstrap 23,High_fasting_plasma_glucose,82.7067812814432,0.7517878948160059,1,High fasting plasma glucose,23
Grouped calendar-block bootstrap,Bootstrap 23,Low_physical_activity,12.536364312294651,0.11395301315033893,2,Low physical activity,23
Grouped calendar-block bootstrap,Bootstrap 23,Tobacco_use,4.143926495182163,0.037667452750748696,4,Tobacco use,23
Grouped calendar-block bootstrap,Bootstrap 24,High_alcohol_use,14.995520322287783,0.11915056957304235,2,High alcohol use,24
Grouped calendar-block bootstrap,Bootstrap 24,High_fasting_plasma_glucose,101.01728586309096,0.8026575196207544,1,High fasting plasma glucose,24
Grouped calendar-block bootstrap,Bootstrap 24,Low_physical_activity,6.956215147235814,0.05527230659904976,3,Low physical activity,24
Grouped calendar-block bootstrap,Bootstrap 24,Tobacco_use,2.884513199548511,0.022919604207153565,4,Tobacco use,24
Grouped calendar-block bootstrap,Bootstrap 25,High_alcohol_use,13.103743057610357,0.11116470116767525,2,High alcohol use,25
Grouped calendar-block bootstrap,Bootstrap 25,High_fasting_plasma_glucose,85.41509388685226,0.7246130624963906,1,High fasting plasma glucose,25
Grouped calendar-block bootstrap,Bootstrap 25,Low_physical_activity,12.606515060715816,0.10694650172313705,3,Low physical activity,25
Grouped calendar-block bootstrap,Bootstrap 25,Tobacco_use,6.751482277363539,0.05727573461279711,4,Tobacco use,25
Grouped calendar-block bootstrap,Bootstrap 26,High_alcohol_use,8.110247363676043,0.07482159973209342,2,High alcohol use,26
Grouped calendar-block bootstrap,Bootstrap 26,High_fasting_plasma_glucose,90.05924359682729,0.8308472447778309,1,High fasting plasma glucose,26
Grouped calendar-block bootstrap,Bootstrap 26,Low_physical_activity,7.0425959258175945,0.06497191390196468,3,Low physical activity,26
Grouped calendar-block bootstrap,Bootstrap 26,Tobacco_use,3.1823793201707304,0.02935924158811108,4,Tobacco use,26
Grouped calendar-block bootstrap,Bootstrap 27,High_alcohol_use,12.08661194452468,0.10944736998353952,2,High alcohol use,27
Grouped calendar-block bootstrap,Bootstrap 27,High_fasting_plasma_glucose,85.30897482037544,0.7724946389390571,1,High fasting plasma glucose,27
Grouped calendar-block bootstrap,Bootstrap 27,Low_physical_activity,8.752852755905513,0.07925932580478058,3,Low physical activity,27
Grouped calendar-block bootstrap,Bootstrap 27,Tobacco_use,4.284656736714875,0.03879866527262283,4,Tobacco use,27
Grouped calendar-block bootstrap,Bootstrap 28,High_alcohol_use,12.090796143605429,0.10498508066702478,2,High alcohol use,28
Grouped calendar-block bootstrap,Bootstrap 28,High_fasting_plasma_glucose,84.97718550194712,0.737861805692337,1,High fasting plasma glucose,28
Grouped calendar-block bootstrap,Bootstrap 28,Low_physical_activity,11.057009550118272,0.09600865201661382,3,Low physical activity,28
Grouped calendar-block bootstrap,Bootstrap 28,Tobacco_use,7.0418121899752055,0.06114446162402448,4,Tobacco use,28
Grouped calendar-block bootstrap,Bootstrap 29,High_alcohol_use,13.156248091117424,0.11583611429862259,2,High alcohol use,29
Grouped calendar-block bootstrap,Bootstrap 29,High_fasting_plasma_glucose,88.73295371847995,0.7812622943715886,1,High fasting plasma glucose,29
Grouped calendar-block bootstrap,Bootstrap 29,Low_physical_activity,6.840047803871772,0.06022420326295603,3,Low physical activity,29
Grouped calendar-block bootstrap,Bootstrap 29,Tobacco_use,4.847143817692995,0.04267738806683288,4,Tobacco use,29
Grouped calendar-block bootstrap,Bootstrap 30,High_alcohol_use,12.351682403738446,0.11121834024155283,2,High alcohol use,30
Grouped calendar-block bootstrap,Bootstrap 30,High_fasting_plasma_glucose,84.83416273664025,0.7638728447628496,1,High fasting plasma glucose,30
Grouped calendar-block bootstrap,Bootstrap 30,Low_physical_activity,10.731505421768217,0.09662976931312947,3,Low physical activity,30
Grouped calendar-block bootstrap,Bootstrap 30,Tobacco_use,3.140613231523072,0.02827904568246801,4,Tobacco use,30
Grouped calendar-block bootstrap,Bootstrap 31,High_alcohol_use,10.638709549167578,0.09632185404834266,2,High alcohol use,31
Grouped calendar-block bootstrap,Bootstrap 31,High_fasting_plasma_glucose,86.94271319964352,0.7871709715054903,1,High fasting plasma glucose,31
Grouped calendar-block bootstrap,Bootstrap 31,Low_physical_activity,10.14067461695522,0.09181269362528285,3,Low physical activity,31
Grouped calendar-block bootstrap,Bootstrap 31,Tobacco_use,2.727495348968488,0.024694480820884185,4,Tobacco use,31
Grouped calendar-block bootstrap,Bootstrap 32,High_alcohol_use,11.957462358124117,0.10993124284294414,2,High alcohol use,32
Grouped calendar-block bootstrap,Bootstrap 32,High_fasting_plasma_glucose,83.62486769872554,0.7688074077399701,1,High fasting plasma glucose,32
Grouped calendar-block bootstrap,Bootstrap 32,Low_physical_activity,9.962050501213355,0.09158637176210722,3,Low physical activity,32
Grouped calendar-block bootstrap,Bootstrap 32,Tobacco_use,3.2278123953763176,0.02967497765497846,4,Tobacco use,32
