location_name,year,Deaths,Incidence,Crude_Count_Ratio,Weighted_ASIR_25_49,Weighted_ASDR_25_49,Weighted_Rate_MIR,Difference,Relative_Difference_Percent
China,1990,16413.777234133824,50064.13278829746,0.3278550195514534,28.060257093143015,9.247319161045855,0.32955218943113634,0.001697169879682936,0.5176586535124095
China,1991,17180.433573002185,53294.638992929584,0.3223670128487305,28.666685780653715,9.29257467663352,0.3241593656042653,0.0017923527555347984,0.555997569259925
China,1992,17894.779348434426,56534.217587857434,0.3165300611196203,29.24273352248664,9.310104746098201,0.3183732717373722,0.0018432106177518892,0.5823177145425351
China,1993,18476.447680208297,59544.79477402201,0.31029492586762825,29.68171328341747,9.26667980119499,0.3122016479544691,0.0019067220868408397,0.6144870340722974
China,1994,19139.096784694368,62892.8298310679,0.304312857858401,30.121213159729486,9.217908602923503,0.30602713622595296,0.0017142783675519468,0.5633276160646572
China,1995,19806.4234654778,66357.08726824907,0.29848241206564974,30.69140328641257,9.209519566796383,0.3000683768302488,0.001585964764599046,0.5313427862041697
China,1996,20529.830221539003,70141.10716903806,0.2926932728914971,31.418856523766426,9.237372611027917,0.2940072820295167,0.0013140091380196006,0.44893725265311435
China,1997,21021.945633779967,73080.49317860071,0.28765467663723393,31.8237160446684,9.18635642437,0.2886638509304145,0.0010091742931805925,0.3508283977782467
China,1998,21511.572940066217,75956.83469618528,0.2832078643891486,32.06859269583129,9.100443373344383,0.2837805656039088,5.727012147602184e-4,0.2022193896329405
China,1999,21562.999834539696,77524.664235602,0.27814373718547786,32.203050443219816,8.96120664178178,0.27827198102186357,1.282438363857108e-4,0.04610703720435705
China,2000,21833.52045439591,79778.7609743037,0.2736758529181516,32.36512739349698,8.843810930926022,0.27325123190162326,-4.2462101652834816e-4,-0.15515472483257353
China,2001,21782.610427289823,80812.16211732016,0.26954619028342075,32.255406198841385,8.667518184758785,0.26871520796628884,-8.30982317131912e-4,-0.30828939420667334
China,2002,21247.653358990232,80330.7541917742,0.26450210224922766,31.555958621025148,8.313835271529149,0.26346324544835076,-0.0010388568008768972,-0.39275937394933624
China,2003,20645.928790472273,80357.35777691429,0.25692642667257537,31.182916148401016,7.979687086839768,0.2558993215664644,-0.0010271051061109815,-0.3997662363552479
China,2004,19860.211909771715,80167.74615034205,0.24773319524945853,30.836998242745185,7.610137936378562,0.24678595096943162,-9.472442800269043e-4,-0.3823646964521865
China,2005,19271.267452552405,81314.21118784463,0.23699753303925794,31.04552279162695,7.3310806780391875,0.2361397077203157,-8.578253189422402e-4,-0.36195537900394203
China,2006,18654.63660551476,82682.19782095525,0.22561853817566116,31.2272069553579,7.021110118749262,0.22483951666847984,-7.790215071813156e-4,-0.3452825789407421
China,2007,18255.35029123555,84271.65742646421,0.21662502968053338,31.175608746161565,6.731670448342491,0.2159274740439933,-6.97555636540087e-4,-0.32201063633726656
China,2008,17844.040663169115,84713.19643782859,0.21064062523322372,30.277859642679328,6.359599904175726,0.21004126378904622,-5.99361444177493e-4,-0.2845421881528698
China,2009,17632.2127061742,85397.66946054014,0.20647182549075943,29.36531157189298,6.047494521698848,0.20594007684519886,-5.317486455605758e-4,-0.2575405357591376
China,2010,17465.705495576643,87102.58843128095,0.20051878836363288,28.961235532646732,5.792998882139601,0.2000259579951072,-0.00049283036852568185,-0.24577765133507734
China,2011,16962.61328645896,87376.80547117317,0.19413176294314358,28.320205583890914,5.485924167062471,0.19371060534189666,-4.211576012469187e-4,-0.21694420060990316
