location_name,year,Deaths,Incidence,Crude_Count_Ratio,Weighted_ASIR_25_49,Weighted_ASDR_25_49,Weighted_Rate_MIR,Difference,Relative_Difference_Percent
China,1990,16413.777234133824,50064.13278829746,0.3278550195514534,28.060257093143015,9.247319161045855,0.32955218943113634,0.001697169879682936,0.5176586535124095
China,2000,21833.52045439591,79778.7609743037,0.2736758529181516,32.36512739349698,8.843810930926022,0.27325123190162326,-4.2462101652834816e-4,-0.15515472483257353
China,2010,17465.705495576643,87102.58843128095,0.20051878836363288,28.961235532646732,5.792998882139601,0.2000259579951072,-0.00049283036852568185,-0.24577765133507734
China,2020,12472.479397480889,81709.76852020778,0.1526436755771288,28.890707478863156,4.386503796207,0.15183095808284472,-8.127174942840765e-4,-0.5324278855388442
China,2023,12610.514537765335,87220.52950402288,0.14458195346295966,32.87222078381767,4.720187005409903,0.14359197197086107,-9.89981492098585e-4,-0.6847199587410535
Global,1990,84800.43036765279,278566.1846605656,0.3044175317653239,36.389241723986345,11.06730432966295,0.30413671198781317,-2.808197775107102e-4,-0.09224822758473472
Global,2000,107584.68847664815,390469.29412744025,0.2755266293526655,38.81386039761186,10.67790092394525,0.27510535706987393,-4.212722827915405e-4,-0.15289712060910787
Global,2010,115567.80298156483,455950.438577096,0.25346571294507847,37.2756879260896,9.452761802082657,0.25359053924975533,1.2482630467686162e-4,0.04924780682422636
Global,2020,149997.782840192,572622.8006089167,0.26194867315916703,42.15888678926017,11.043873979059036,0.2619583869532443,9.713794077270688e-6,0.003708281458392193
Global,2023,179756.27651750957,672228.2803178534,0.26740362133011486,48.357185624315115,12.920714867618619,0.2671932764656548,-2.1034486446003253e-4,-0.07866193562141577
High SDI,1990,42524.63756251974,184163.97058830294,0.23090638970628638,53.65372658945252,12.40402415874921,0.2311866285386344,2.8023883234801206e-4,0.12136469359054214
High SDI,2000,48567.39906208594,243916.21012426494,0.199115093815794,55.68575618972949,11.072518601813274,0.1988393327027398,-2.7576111305421813e-4,-0.13849332452382512
High SDI,2010,40488.08528548978,250433.02182984608,0.1616723105829029,51.27287229436892,8.274739997359232,0.16138631652722937,-2.85994055673533e-4,-0.17689736395947175
High SDI,2020,35719.10065127573,242028.53619562677,0.14758218684760668,49.7328808090571,7.312691981889519,0.1470393804446126,-5.428064029940893e-4,-0.3677994035652721
High SDI,2023,36343.75016949704,250243.9876894981,0.14523326016764185,52.08012583150364,7.52931718092596,0.14457179318816896,-6.614669794728911e-4,-0.4554514432226875
High-middle SDI,1990,15466.038105895186,40700.88954979107,0.3799926310449541,25.22643389652774,9.648998550235634,0.3824955437543535,0.0025029127093993964,0.6586740123134982
High-middle SDI,2000,21479.84325177105,65114.29192871833,0.329879088223602,29.30264141288267,9.690451716314108,0.33070232747187694,8.232392482749318e-4,0.24955787670812857
High-middle SDI,2010,22547.254408047665,79968.64376041635,0.28195119171457456,28.500905127021202,8.031752966482951,0.28180694369836656,-1.4424801620799288e-4,-0.05116063362982093
High-middle SDI,2020,25023.30391012121,99785.14984887831,0.25077182274134246,32.726172450585764,8.196762466027474,0.25046505143258085,-3.0677130876161085e-4,-0.12233085256871945
High-middle SDI,2023,27810.383098014267,114513.9623190407,0.24285582766347194,37.24588516311578,9.023114014305394,0.24225800983892018,-5.978178245517607e-4,-0.24616161378683277
Middle SDI,1990,7565.048551943789,17214.98281155188,0.43944560588624965,21.95558800911158,9.733359573293878,0.4433203779035446,0.0038747720172949696,0.8817409857769576
Middle SDI,2000,11580.22325102271,29228.770304799626,0.396192625630957,26.42868665448801,10.53931517533242,0.39878315987157376,0.002590534240616782,0.6538572585724545
Middle SDI,2010,16600.31510899545,46443.15920045083,0.35743294372692697,32.12166670876657,11.499018178995954,0.3579832355292345,5.502918023075343e-4,0.15395665451809482
Middle SDI,2020,23168.236982100243,72463.93063392979,0.3197209532993809,43.23386275541962,13.815125353248503,0.31954409050615523,-1.7686279322565168e-4,-0.05531786121631965
Middle SDI,2023,26739.4515214177,87495.03462134965,0.3056110742413834,50.490269287135725,15.412578769241604,0.3052583990311284,-3.526752102550046e-4,-0.11540001000632794
Low-middle SDI,1990,8759.655371967563,17210.866555619876,0.5089607396384853,18.384905144492276,9.423026452887122,0.512541477849836,0.0035807382113506314,0.7035391794451673
Low-middle SDI,2000,12288.825561890357,25730.393311949683,0.47759960032104104,21.366517153367205,10.266796815654454,0.4805086735456313,0.002909073224590275,0.6091029436864792
Low-middle SDI,2010,17055.876571285404,39743.343709011955,0.42915051879285937,25.89302364671183,11.159823515726563,0.4309973090818907,0.0018467902890313415,0.4303362592281479
Low-middle SDI,2020,28811.309989840665,73532.20202561002,0.3918189472934072,39.45787360761631,15.506905514920422,0.3929990163465682,0.0011800690531609814,0.3011771281896003
Low-middle SDI,2023,35718.640308425034,94276.90303465076,0.37886947023808065,47.92685048913508,18.208728089207796,0.3799274916538836,0.0010580214158029677,0.279257501307284
Low SDI,1990,10385.95742492165,18959.51936927357,0.5477964510932423,20.025352174402034,11.06812285187359,0.5527055282464258,0.004909077153183561,0.8961498643130117
Low SDI,2000,13556.07485394194,26070.354042396397,0.5199804663909298,20.95996994798943,11.002486390074624,0.5249285384175864,0.004948072026656591,0.9515880588746084
Low SDI,2010,18760.883889528137,38911.663132091606,0.48214037590327197,23.50201406598279,11.430170246776308,0.48634854079678763,0.004208164893515665,0.8728090622221352
Low SDI,2020,37137.82169953235,84281.24435158161,0.4406415921508096,37.971950937383156,16.847308515616014,0.4436777173603145,0.003036125209504914,0.6890237470968952
Low SDI,2023,52991.24207464507,125120.74163790276,0.4235208437942352,51.7901280182233,22.08634266033996,0.4264585453924438,0.0029377015982086085,0.6936380207147153
