location_name,age_name,Cases_2022,Population_2022,GLOBOCAN_Rate_2022,GBD_Rate_2022,Baseline_Scaling_Factor,Absolute_Difference,GBD_Relative_to_GLOBOCAN_Percent,Baseline_Scaling_Change_Percent
China,25-29 years,2675,38411810.15396138,6.964004011469711,6.060704468330001,1.149042004582119,0.9032995431397097,-12.970979649810308,14.904200458211903
China,30-34 years,10405,55121181.58572628,18.87659099581855,12.98784132638,1.453404805421955,5.88874966943855,-31.19604419433041,45.34048054219551
China,35-39 years,18603,54714848.68513047,33.99991126185025,28.280852075850003,1.202223722632599,5.719059186000248,-16.820806213154277,20.222372263259892
China,40-44 years,29963,44090053.54374973,67.95863826808076,53.21449415559999,1.277070079241356,14.744144112480768,-21.695761551781843,27.707007924135606
China,45-49 years,49686,51683935.01442302,96.13432101509788,76.32642157921,1.2595156307089759,19.807899435887876,-20.604399372391725,25.95156307089759
Global,25-29 years,33777,289905906.7907104,11.651021662136873,9.54730669312,1.220346432416679,2.103714969016874,-18.05605576937052,22.034643241667908
Global,30-34 years,76407,296792172.3468967,25.744277349300827,23.88934520672,1.0776468390627567,1.8549321425808252,-7.205221251359778,7.764683906275671
Global,35-39 years,128734,282893030.4015742,45.506246589835975,43.39335145945,1.0486916787784972,2.112895130385972,-4.6430881224510765,4.869167877849723
Global,40-44 years,183276,250755570.81120786,73.08950282025329,74.06614932087,0.986813861533618,-0.9766465006167095,1.3362336080169344,-1.3186138466381947
Global,45-49 years,239314,234247617.0931329,102.16283220710535,99.93585845878002,1.022284030804057,2.226973748325335,-2.179827732076569,2.2284030804057053
