Scenario,N,Target_SD,RMSE,MAE,In_sample_R2,Spearman_rho
Absolute DALYs (primary scale),170,104.97452606250819,2.8411703063756097,2.029790054510146,0.9992631333419577,0.9993960692643395
Age-specific DALY rate,170,260.32902852028184,4.095851958243834,2.8597311489113326,0.9997509964588814,0.9994919400559664
Within-age centered rate and PAFs,170,112.27815423401182,3.9632307586897233,3.0370261277888186,0.9987466556508648,0.9988953393596544
Within-age annual first differences,165,10.746457403919912,2.0635039584317023,1.5215530055684026,0.9629045993877188,0.9819116822055408
Age- and smooth-year-adjusted residuals,170,47.15558777554535,5.829024761833655,4.229638590164232,0.9846295107281755,0.9899176176976935
