Feature,Risk_Factor,N_successful,Mean_normalized_importance,SD_normalized_importance,Median_normalized_importance,Q1_normalized_importance,Q3_normalized_importance,Median_rank,Q1_rank,Q3_rank,Top1_frequency
High_fasting_plasma_glucose,High fasting plasma glucose,200,0.7710532218210371,0.06625372468787367,0.7768991833518143,0.7510407272799154,0.8086976221725927,1,1,1,0.99
High_alcohol_use,High alcohol use,200,0.10676492277181483,0.06006044968968439,0.09952120596659425,0.07527503594398804,0.12382480557777126,2,2,3,0.01
Low_physical_activity,Low physical activity,200,0.07748752729190937,0.02112393116774541,0.07651294610635458,0.061264966498149845,0.09154122895568545,3,2,3,0
Tobacco_use,Tobacco use,200,0.044694328115238706,0.017575020352328122,0.042104665678298264,0.03439273975660971,0.05033590360591911,4,4,4,0
