age_name,High_alcohol_use,High_fasting_plasma_glucose,Low_physical_activity,Tobacco_use,Mean_DALY_rate,Mean_absolute_DALYs
25-29 years,0.009630245764705883,0.027251708617647058,0.011364784470588236,0.13133457364705883,83.41696646815137,46175.3473772173
30-34 years,0.012458725823529412,0.034607064911764705,0.011354431,0.13232830567647058,201.16230390392636,108474.06743479517
35-39 years,0.01349406488235294,0.04320849194117647,0.010968904470588235,0.13221213323529413,348.8504423680961,177695.6486196621
40-44 years,0.015939763617647058,0.05134634176470588,0.011395461235294118,0.13517192491176472,526.5700225966766,245690.207568671
45-49 years,0.014001118676470588,0.05941460247058824,0.012018571294117647,0.1352878486470588,743.0509312808005,317171.5887001754
