location_name,age_name,Observed_2023,Predicted_2023_unanchored,Anchor_Ratio,Absolute_Boundary_Difference,Relative_Boundary_Difference_Percent,Anchoring_Direction
China,25-29 years,5.9878306416300004,6.069771904147411,0.9865001084371191,-0.08194126251741096,-1.3499891562880866,Downward anchoring
China,30-34 years,13.39623101738,13.167659034419833,1.0173585891283095,0.22857198296016712,1.735858912830955,Upward anchoring
China,35-39 years,27.24285836547,26.62893022656154,1.0230549306218875,0.6139281389084594,2.3054930621887504,Upward anchoring
China,40-44 years,52.14264746346,52.079989552028984,1.0012031091398055,0.06265791143101751,0.12031091398054326,Upward anchoring
China,45-49 years,80.5407648021,81.92246068997609,0.9831341017318203,-1.3816958878760914,-1.686589826817975,Downward anchoring
Global,25-29 years,10.149674433349999,10.143712836076796,1.0005877135295076,0.005961597273202557,0.05877135295076311,Upward anchoring
Global,30-34 years,25.47901556269,24.86836451608368,1.0245553360057666,0.6106510466063213,2.455533600576673,Upward anchoring
Global,35-39 years,44.92414622623,44.337935987775765,1.0132214146958907,0.5862102384542354,1.3221414695890603,Upward anchoring
Global,40-44 years,76.47203962191,76.61404538775938,0.9981464786889838,-0.14200576584937608,-0.1853521311016222,Downward anchoring
Global,45-49 years,103.65498984378,105.11508674873787,0.9861095400277982,-1.4600969049578651,-1.3890459972201818,Downward anchoring
