Location,Age group,Year,Observed rate in 2023,Projected mean,Lower 95% UI,Upper 95% UI,"Projected incidence rate per 100,000 (95% UI)"
China,25-29 years,2023,5.9878306416300004,5.9878306416300004,5.79976918703963,6.1784908358482795,5.99 (5.8-6.18)
China,25-29 years,2030,NA,6.759284472904143,4.3582881690701365,9.93092282175036,6.76 (4.36-9.93)
China,25-29 years,2040,NA,9.785430503990444,1.8586971500372862,30.394817412827145,9.79 (1.86-30.39)
China,25-29 years,2050,NA,22.94421973374395,0.5669720214591455,129.9681997305813,22.94 (0.57-129.97)
China,30-34 years,2023,13.39623101738,13.396231017379998,13.201191414413714,13.595001674277547,13.4 (13.2-13.6)
China,30-34 years,2030,NA,15.246905268884962,10.511122103908237,21.154701639704193,15.25 (10.51-21.15)
China,30-34 years,2040,NA,21.352263040579686,4.708296633067359,61.60082171354689,21.35 (4.71-61.6)
China,30-34 years,2050,NA,47.02090686795364,1.486746945358875,254.42015375645988,47.02 (1.49-254.42)
China,35-39 years,2023,27.24285836547,27.24285836547,26.95633947120128,27.53172943837671,27.24 (26.96-27.53)
China,35-39 years,2030,NA,29.98226785513962,20.800832910285575,41.364964503489944,29.98 (20.8-41.36)
China,35-39 years,2040,NA,41.413632710366656,9.84122090279052,114.86486170855613,41.41 (9.84-114.86)
China,35-39 years,2050,NA,86.95216182739487,3.2425348485733774,454.35024194273353,86.95 (3.24-454.35)
China,40-44 years,2023,52.14264746346,52.14264746346,51.662319037506094,52.62295620800274,52.14 (51.66-52.62)
China,40-44 years,2030,NA,56.55011193367908,39.25409792794387,78.00512838799384,56.55 (39.25-78.01)
China,40-44 years,2040,NA,78.77881965167371,19.178875821331324,215.63568242390423,78.78 (19.18-215.64)
China,40-44 years,2050,NA,160.01140642301164,6.581228279986362,817.6156272422363,160.01 (6.58-817.62)
China,45-49 years,2023,80.5407648021,80.5407648021,79.91379257962569,81.1698949212797,80.54 (79.91-81.17)
China,45-49 years,2030,NA,99.58265310695036,69.1258170685575,137.36207173375152,99.58 (69.13-137.36)
China,45-49 years,2040,NA,132.27854532229318,32.26569413597265,361.70574766112276,132.28 (32.27-361.71)
China,45-49 years,2050,NA,265.01471486756833,11.43181972048096,1338.8645863658255,265.01 (11.43-1338.86)
China,Overall ASIR (25-49y),2023,32.87222078381767,32.87222078381767,32.535346071361346,33.21133166976234,32.87 (32.54-33.21)
China,Overall ASIR (25-49y),2030,NA,38.005498177049994,26.286476496190822,52.592873844105924,38.01 (26.29-52.59)
China,Overall ASIR (25-49y),2040,NA,51.902540315969844,12.371015371566237,143.82494358269963,51.9 (12.37-143.82)
China,Overall ASIR (25-49y),2050,NA,106.87400445882162,4.23426712158839,551.5489440768399,106.87 (4.23-551.55)
Global,25-29 years,2023,10.149674433349999,10.149674433349999,10.04234844718992,10.257962745424955,10.15 (10.04-10.26)
Global,25-29 years,2030,NA,16.21049550793973,12.50596934209806,20.70238492355942,16.21 (12.51-20.7)
Global,25-29 years,2040,NA,34.20900832028341,13.041374961967463,74.0917555431111,34.21 (13.04-74.09)
Global,25-29 years,2050,NA,87.04642146041961,11.026533118985656,327.1408896305218,87.05 (11.03-327.14)
Global,30-34 years,2023,25.47901556269,25.479015562689998,25.326602621812135,25.633666312080013,25.48 (25.33-25.63)
Global,30-34 years,2030,NA,36.952459602000715,32.36917939330926,41.893272256044014,36.95 (32.37-41.89)
Global,30-34 years,2040,NA,74.82254531551273,38.08701807702274,132.78415025371285,74.82 (38.09-132.78)
Global,30-34 years,2050,NA,175.30992675087396,34.82144787215944,542.1870931966198,175.31 (34.82-542.19)
Global,35-39 years,2023,44.92414622623,44.92414622623,44.72847662828653,45.12039617740589,44.92 (44.73-45.12)
Global,35-39 years,2030,NA,61.172352338732516,54.02348321467061,68.85385878254591,61.17 (54.02-68.85)
Global,35-39 years,2040,NA,119.43712177089758,72.05442397930274,185.85943930134144,119.44 (72.05-185.86)
Global,35-39 years,2050,NA,263.1575476258745,73.11343897623868,683.4629976923301,263.16 (73.11-683.46)
Global,40-44 years,2023,76.47203962191,76.47203962191,76.19164110128418,76.75232284835273,76.47 (76.19-76.75)
Global,40-44 years,2030,NA,103.28417190334632,91.23326910598031,116.22180336530457,103.28 (91.23-116.22)
Global,40-44 years,2040,NA,182.39776004232317,116.22916175605623,271.3924728393248,182.4 (116.23-271.39)
Global,40-44 years,2050,NA,385.6198256048921,133.35384441056803,879.7750105455323,385.62 (133.35-879.78)
Global,45-49 years,2023,103.65498984378,103.65498984378,103.307722550949,104.00214841765722,103.65 (103.31-104)
Global,45-49 years,2030,NA,143.08968933202877,126.39970908701046,161.00120158309298,143.09 (126.4-161)
Global,45-49 years,2040,NA,227.15843264936026,145.08699617443264,337.65711813825993,227.16 (145.09-337.66)
Global,45-49 years,2050,NA,463.12369702520266,178.74818516515998,985.1417426423161,463.12 (178.75-985.14)
Global,Overall ASIR (25-49y),2023,48.357185624315115,48.357185624315115,48.150219180382344,48.564934763435524,48.36 (48.15-48.56)
Global,Overall ASIR (25-49y),2030,NA,67.05709393595563,58.753691025198144,76.09511899716335,67.06 (58.75-76.1)
Global,Overall ASIR (25-49y),2040,NA,119.78328232876702,71.476144894159,189.800745896411,119.78 (71.48-189.8)
Global,Overall ASIR (25-49y),2050,NA,259.6072845140696,79.32406754540271,657.3969062569182,259.61 (79.32-657.4)
